id;origine;date;precision;date_brute;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;crisis_no;cve;fil;source;source_graphe;acteurs_graphe;occurs_in;variantes;notes;gid;codage_statut;codage_justif;statut_ligne;acteur_principal_mode;acteur_principal_id;acteur_principal_nom
G095;graphe;2009-01-09;jour;;acte;Bitcoin-QT 0.1 client lourd (9 janvier 2009);poc;iii;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;Satoshi Nakamoto;Phase de preuve de concept [DevelopmentPhase];;Client lourd polyvalent portant tous les composants. Injonction wallet.dat critique. Seule solution disponible a l origine.;5f86375d2ffa4575b9c1b18395bb82b1;;;douteuse;;;
E006;catalogue+graphe;2009-01-12;jour;;acte;Premiere transaction (10 BTC - Nakamoto vers Finney);poc;viii;bitcoin;core_devs;;on_chain;adoption;;nd;non;;;acces-usage;ch.I l.265 + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;Hal Finney | Satoshi Nakamoto;Phase de preuve de concept [DevelopmentPhase];;;fb0bb535e9014c58b7fb73151258f67b;valide(calibrage);;validee;;;
F001;figure;2009-10-05;jour;;acte;"Première échange BTC / $ et première modélisation de leur valeur via les coûts de production"", par ""New Liberty Standard";poc;i;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2009-10-05);;;;;colonnes analytiques a coder;;;;chantier;;;
E007;catalogue+graphe;2009-10-12;jour;;acte;Premier echange BTC/dollar (Malmi - NewLibertyStandard);poc;i;bitcoin;communautes_forums;;marches_plateformes;financiarisation;;nd;non;;;marches;ch.I n.75 l.609 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Martti Malmi | NewLibertyStandard;Phase de preuve de concept [DevelopmentPhase];;5050 BTC pour 5.02 dollars - reglement via PayPal — deux actes distincts valides : 05/10/2009 premier taux (ligne dediee), 12/10/2009 premiere transaction (celle-ci);66a591458af644a9a0a83a0565e02488;valide(calibrage);;validee;;;
G159;graphe;2009-10-30;jour;;acte;SourceForge Bitcoin repo (Martti Malmi, 2009);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;;ef4dc40dd6a242019dc88551d68bbd7a;;;chantier;;;
E005;catalogue+graphe;2009-11-22;jour;;acte;Fondation du forum Bitcointalk;poc;iv;bitcoin;core_devs;communautes_forums;listes_forums;innovation_infrastructurelle;;nd;non;;;genese;ch.I l.113 + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;"Bitcointalk fonde le 22/11/2009 (verif. externe) — le ""janvier 2009"" de l.113 vise prob. le canal SourceForge anterieur (fig. 10/12/2008)";06ac37fc6cf24af49ec79ec265159ad8;valide(calibrage);;validee;;;
G141;graphe;2009-12-22;jour;;acte;Article PCWorld sur Bitcoin (décembre 2009);poc;;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;I.4 Conclusion du Chapitre I [ThesisSection];;Article de PCWorld sur Bitcoin en décembre 2009, contribuant à la première diffusion médiatique du protocole au grand public technique.;3a7d7850c35842dc9127080eb7d30db3;;;chantier;;;
E008;catalogue;2010;annee;;acte;Lancement de MtGox (McCaleb);poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;liquidite_convertibilite(+);non;;;marches;ch.I l.269-271;;;;;profondeur de liquidite - produit un cours (texte);;valide(calibrage);;validee;;;
E009;catalogue;2010;annee;;seuil;MtGox concentre pres de 70 pct des volumes (2010-2014);poc;i*;bitcoin;nd;;marches_plateformes;nd;;liquidite_convertibilite(+);non;;;marches;ch.I l.269;;;;;;;valide(calibrage);;validee;;;
E010;catalogue;2010;annee;;acte;MyBitcoin - premier portefeuille custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;;;portefeuilles;ch.I n.74 l.607 + fig. n6 V2.8 (bin);;;;;;;valide(calibrage);;validee;;;
E011;catalogue+graphe;2010;annee;;acte;Sequestre communautaire par Theymos (frais 1 pct);poc;iii;bitcoin;communautes_forums;;listes_forums;innovation_infrastructurelle;;conf_methodique(+);non;;;portefeuilles;ch.I n.75 l.609 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;;babc9f23c57446c88626709f94707d80;valide(calibrage);;validee;;;
G003;graphe;2010;annee;;acte;CVE-2010-5141 (Vol de clés privées);poc;;bitcoin;nd;core_devs;on_chain;incident;innovation_protocolaire;integrite_monnayage(±);oui;1;CVE-2010-5141;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;0423dfbdf0904305b1d7e48c3df78ae2;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Vol (Theft) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G045;graphe;2010;annee;;acte;Mt. Gox;poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Bourses d'échange (exchanges) | Satoshi Nakamoto | Core Developers (Bitcoin) | Mark Karpelès;Phase de maturation / Phase 3 Bitcoin [Concept];;Première véritable bourse d'échange BTC/$ à grande échelle, lancée par Jed McCaleb en 2010. Concentre jusqu'à 70% des volumes d'échange BTC/$ de 2010 à 2014. Rôle décisif dans la r;6661cad88f9145a6ad28d6c30840ef00;;;chantier;;;
G119;graphe;2010;annee;;acte;Dust limit (limite de poussière Bitcoin);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Règle transactionnelle ajoutée par Nakamoto : toute UTXO inférieure à 0.01 BTC envoyé nécessite 0.01 BTC de frais. Vise à prévenir les attaques par spam de petites transactions (du;eb2cb7c7f3c44cd2b8d01fe8bbad5a5a;;;chantier;;;
G092;graphe;2010-02;mois;;acte;NewLibertyStandard : modele de prix par cout minage (fev.2010);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;NewLibertyStandard;Phase de preuve de concept [DevelopmentPhase];;Modele de valorisation des BTC deduit du cout energetique du minage, propose sur BitcoinTalk pour depasser absence de cotation.;60b665021b014f6d9803f0e227d8d076;;;chantier;;;
G073;graphe;2010-02-05;jour;;acte;Proposition du ticker BTC;poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Adoption du symbole BTC pour désigner le bitcoin sur les marchés de change, établissant une convention de désignation universelle pour la cryptomonnaie.;4443393ff9094574a7c2adcd5fc96162;;;chantier;;;
G074;graphe;2010-03-10;jour;;acte;Premier tournoi de poker en ligne utilisant BTC;poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier tournoi de poker en ligne utilisant Bitcoin, démonstration précoce de l'usage de Bitcoin pour les jeux d'argent en ligne hors juridiction.;8c6f302ba7484a718a163a6747c81fa5;;;chantier;;;
E012;catalogue;2010-03-17;jour;;acte;Bitcoinmarket.com - premiere bourse et premiere cotation;poc;i;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;valorisation(+);non;;;marches;ch.I n.75 l.609 + fig. n6 V2.8 (bin);;;;;;;valide(calibrage);;validee;;;
G056;graphe;2010-03-17;jour;;acte;BitcoinMarket exchange launch;poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;BitcoinMarket.com (17 mars 2010) : première bourse d'échange Bitcoin, première cotation continue BTC/$. Dépend de PayPal pour le règlement en dollar, ce qui conduit à sa fragilisat;20dac14d83a2433fae0c7392e380bf6e;;;chantier;;;
G075;graphe;2010-03-17;jour;;acte;Première plateforme d’échange BTC (BitcoinMarket.com);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Lancement de BitcoinMarket.com en mars 2010 par dwdollar, première plateforme permettant l'échange BTC/USD, établissant le premier cours de marché Bitcoin.;d2a8798b6f064140851367c98162f594;;;chantier;;;
G076;graphe;2010-04-01;jour;;acte;Premier minage GPU;poc;ii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Transition du minage CPU vers GPU initiée par Laszlo Hanyecz en 2010, multipliant la puissance de calcul disponible par un facteur considérable.;ef24c1fb7a7040b49a2c1e0194355cf1;;;chantier;;;
G077;graphe;2010-05-21;jour;;acte;Premier échange contre marchandise (pizzas);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Laszlo Hanyecz;Phase de preuve de concept [DevelopmentPhase];;Première transaction commerciale Bitcoin : Laszlo Hanyecz achète deux pizzas pour 10 000 BTC le 22 mai 2010 (Bitcoin Pizza Day), premier prix en biens réels.;09d15bd8d03c4fa38ecbd33cf5862f9b;;;chantier;;;
E013;catalogue;2010-05-22;jour;;acte;Premier achat de bien physique (2 pizzas - 10000 BTC);poc;i;bitcoin;communautes_forums;;marches_plateformes;adoption;;usage_paiement(+);non;;;acces-usage;ch.I n.75 l.609;;;;;via intermediaire individuel (Hanyecz);;valide(calibrage);;validee;;;
E014;catalogue;2010-06;mois;;acte;Premier Faucet (Andresen - 50 BTC par visite);poc;i*;bitcoin;core_devs;;entreprises_services;adoption;;usage_paiement(+);non;;;acces-usage;ch.I l.269;;;;;elargir les canaux d'acces (texte);;valide(calibrage);;validee;;;
G055;graphe;2010-06;mois;;acte;Bitcoin Faucet;poc;viii;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I, section I.2) + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;Bourses d'échange (exchanges);Phase de preuve de concept [DevelopmentPhase];;Premier service de distribution gratuite de bitcoins créé par Gavin Andresen en 2010 pour faciliter l'adoption, offrant 5 BTC par visiteur au début.;0ec8d4683eb14f49a2b5dd37ac2c8858;;;douteuse;;;
G058;graphe;2010-07;mois;;acte;GPU mining emergence;poc;;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Passage du minage CPU au GPU en 2010 (Laszlo Hanyecz), multipliant la puissance de calcul par 100 et amorçant la course aux armements du minage.;5dfe15f31a89483aae5b75e1e60fc5ef;;;chantier;;;
F002;figure;2010-07-11;jour;;acte;"Première couverte médiatique de Bitcoin, par ""Slashdot";poc;iv;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2010-07-11);;;;;colonnes analytiques a coder;;;;chantier;;;
G078;graphe;2010-07-11;jour;;acte;Première couverture média (Slashdot);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Première grande couverture médiatique de Bitcoin par Slashdot le 11 juillet 2010, déclenchant un afflux massif de nouveaux utilisateurs.;1c84e58808404ab891a1ef9b0e5d6449;;;chantier;;;
G064;graphe;2010-07-15;jour;;acte;Nakamoto introduces block size limit;poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Satoshi Nakamoto introduit discrètement la limite de bloc de 1MB en octobre 2010 (activée le 12 septembre 2010), décision qui deviendra le cœur du Scaling Debate.;4f7fd6dcbdc349a08df4b66d92cb9cdc;;;chantier;;;
G079;graphe;2010-07-15;jour;;acte;Introduction d’une limite de bloc (activée 2010-09-12);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Introduction discrète par Satoshi Nakamoto d'une limite de taille de bloc à 1 MB, activée le 12 septembre 2010 comme mesure anti-spam, devenu le cœur du Scaling Debate.;69aa91b1014e4143b79c9f3547c29c6d;;;douteuse;;;
G114;graphe;2010-07-15;jour;;acte;Limite de taille de bloc 1 Mo (15 juillet 2010);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Introduction secrète par Nakamoto de la limite de 1 Mo par bloc (version 0.3.2, publiée le 19 juillet 2010, entrée en vigueur le 07/09/2010). Une seule ligne de code (MAX_BLOCK_SIZ;646140677b0c4a67855bdb001f4680cf;;;douteuse;;;
G080;graphe;2010-07-18;jour;;acte;Première bourse d’échange importante (MtGox);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;MtGox;Phase de preuve de concept [DevelopmentPhase];;Lancement de MtGox en juillet 2010 par Jed McCaleb, première bourse Bitcoin à grande échelle permettant les échanges BTC/USD, revendue à Mark Karpelès en 2011.;9670a4beed1a47bda5628c9770dddfd1;;;chantier;;;
F003;figure;2010-07-28;jour;;acte;"Première modification protocolaire (Soft Fork), correction d'un bogue de type ""Vol de bitcoin"")";poc;vi;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2010-07-28);;;;;colonnes analytiques a coder;;;;chantier;;;
G014;graphe;2010-07-28;jour;;acte;CVE-2010-5137 — OP_LSHIFT crash;poc;;bitcoin;nd;core_devs;on_chain;incident;innovation_protocolaire;conf_methodique(±);oui;2;CVE-2010-5137;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;dddeabcb23464ee48e9524a6ac71c6eb;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G065;graphe;2010-07-28;jour;;acte;First soft fork (Value overflow bug fix);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier soft fork correctif Bitcoin en août 2010 pour corriger le bug d'overflow CVE-2010-5139 ayant créé 184 milliards de BTC, coordonné par Satoshi Nakamoto en 6 heures.;5b8c5959b2114befb0021a2c5d416e6f;;;douteuse;;;
G081;graphe;2010-07-28;jour;;acte;Soft fork : correction bug 'Void of bitcoin';poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Premier soft fork correctif Bitcoin en août 2010 pour corriger le bug d'overflow ayant créé 184 milliards de BTC, coordonné par Satoshi Nakamoto en 6 heures.;714f6de9e72d4162a186c2c0e459f15f;;;douteuse;;;
G015;graphe;2010-07-29;jour;;acte;CVE-2010-5138 — Unlimited SigOp DoS via OP_CHECKSIG;poc;;bitcoin;nd;core_devs;on_chain;incident;innovation_protocolaire;conf_methodique(±);oui;3;CVE-2010-5138;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;d6af94403c654e33a826339a6d612463;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=non (démonstration testnet seulement) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G094;graphe;2010-08-10;jour;;acte;Perte 9000 BTC (premier utilisateur, 10 aout 2010);poc;iii;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premiere perte declaree : 9000 BTC perdus par mauvaise gestion du fichier wallet.dat (Sedgwick 2019).;120e6fa2cdfa464ea7e51a34386adb73;;;chantier;;;
E015;catalogue;2010-08-15;jour;;acte;Bogue Value Overflow (CVE-2010-5139 - crise n 4);poc;vi;bitcoin;core_devs;mineurs;on_chain;incident;innovation_protocolaire;nd;oui (n 4);;;crises-protocolaires;ch.III l.221 + l.237;;;;;scission de 51 blocs - remise en ordre Nakamoto et premiers devs - recensement seul (SASE);;valide(calibrage);;validee;;;
G001;graphe;2010-08-15;jour;;acte;Bitcoin CVE 2010-5139 (Value Overflow);poc;;bitcoin;core_devs;;on_chain;incident;innovation_protocolaire;nd;oui;4;;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;;;;273237e8600e4e289cd76da835a82e67;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Faux monnayage (Inflation) + Scission du réseau (Netsplit) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";douteuse;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G016;graphe;2010-09-29;jour;;acte;CVE-2010-5140 — Never confirming transactions;poc;;bitcoin;nd;core_devs;on_chain;incident;innovation_protocolaire;conf_methodique(-) usage_paiement(-);oui;5;CVE-2010-5140;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;7246b452d71d4416b146f62f42a2bb64;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=oui (involontaire, perturbation réseau) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G121;graphe;2010-11;mois;;acte;BitDNS : projet DNS distribué précurseur de Namecoin (nov. 2010);poc;vi;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Hal Finney;Phase de preuve de concept [DevelopmentPhase];;Projet de DNS distribué discuté sur BitcoinTalk (nov. 2010). Nakamoto et Finney impliqués. Nakamoto propose le merge mining pour des 'destins distincts'. Précurseur direct de Namec;496ef75551f5475ab7f7ec0c6f31052a;;;chantier;;;
F004;figure;2010-11-01;mois;;acte;Discussion d'un projet de DNS via protocole de registre distribué, BitDNS, Participation de Finney et Nakamoto;poc;vii;altcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2010-11-01);;;;;[jour 01 = convention mois probable de la frise] colonnes analytiques a coder;;;;chantier;;;
