event_id;intitule;systeme;date;crisis_no;cve;statut_v3_2;statut_propose;granularite;acteur_principal_mode;acteur_principal_id;acteur_principal_nom;effet_prop_monetaires_Q7;confidence;source_enonce;note
G020;CVE-2012-2459 — Block hash collision (via merkle root);bitcoin;2012-05-14;11;CVE-2012-2459;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.231;Netsplit n°11 non exploité — ± (r2 par extension)
G021;CVE-2012-4683 — Targeted DoS by CPU exhaustion using alerts;bitcoin;2012-08-23;12;CVE-2012-4683;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°12 — ± (r2 par extension)
G022;CVE-2012-4684 — Network-wide DoS using malleable signatures in alerts;bitcoin;2012-08-24;13;CVE-2012-4684;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°13 — ± (r2 par extension)
G023;CVE-2012-4682 — DOS (manque d'informations);bitcoin;2012-09-16;14;CVE-2012-4682;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°14 — ± (r2 par extension)
G006;CVE-2013-3220 (Netsplit BIP-0050);bitcoin;2013;19;CVE-2013-3220;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(-) conf_methodique(-);haute;wiki des crises (ch.III l.181-249) via graphe + ch.III l.231-235;Netsplit n°19 RÉALISÉ (mars 2013, BIP-50) avec double dépense énoncée (~10 000£ sur OKPAY) : falsification effective + coordination sociale de remise en ordre — précision de date (2013 → 2013-03) à porter en v3-3
G011;Fermeture Silk Road par le FBI (octobre 2013);bitcoin;2013;;;chantier;douteuse;acte_ponctuel;initiateur;;FBI (regulateurs_etats);nd;moyenne;wiki des crises (ch.III l.181-249) via graphe;doublon multiple du même événement (E041 douteuse via paire A_VERIFIER, G052, G054, F021) · l'acteur core_devs du lot 1 est un raté du gabarit (fermeture réglementaire, pas un correctif) — effet valorisation(-) déjà porté par E041
G024;CVE-2013-2293 — Continuous hard disk seek;bitcoin;2013-01-09;15;CVE-2013-2293;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°15 — ± (r2 par extension)
G025;CVE-2013-2272 — Remote discovery of node's wallet addresses;bitcoin;2013-01-11;16;CVE-2013-2272;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;haute;wiki des crises (ch.III l.181-249) via graphe;Exposition n°16 — hors propriétés monétaires, nd assumé
G026;CVE-2013-2292 — A transaction that takes at least 3 minutes to verify;bitcoin;2013-01-30;17;CVE-2013-2292;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°17 — ± (r2 par extension)
G027;CVE-2013-2273 — Predictable change output;bitcoin;2013-01-30;18;CVE-2013-2273;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;haute;wiki des crises (ch.III l.181-249) via graphe;Exposition n°18 (change prévisible) — hors propriétés monétaires, nd assumé (la lecture fongibilité serait une inférence, pas un énoncé)
G029;CVE-2013-4627 — Memory exhaustion with excess tx message data;bitcoin;2013-02-08;21;CVE-2013-4627;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°21 — ± (r2 par extension)
G028;CVE-2013-3219 — Unenforced block protocol rule;bitcoin;2013-03-11;20;CVE-2013-3219;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.200;Fake Conf n°20 non exploitée : double dépense possible avec confirmation = falsification potentielle — ± (r2)
G042;BIP-0034 — Mandatory block protocol update (Height in coinbase);bitcoin;2013-03-24;0034;;chantier;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);nd;moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.211;soft fork BIP-0034 classé Fake Conf — même réserve que BIP-65, nd assumé
G030;CVE-2013-4165 — Timing leak in RPC authentication;bitcoin;2013-07-20;22;CVE-2013-4165;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.249;Theft n°22 non exploité — « conservation », ± (r2)
G031;CVE-2013-5700 — Remote p2p crash via bloom filters;bitcoin;2013-09-04;23;CVE-2013-5700;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°23 — ± (r2 par extension)
G007;BIP-0042 — Bitcoin Fixed Monetary Supply (Inflation Bug);bitcoin;2014-04-01;24;;chantier;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);integrite_monnayage(+);haute;ch.III l.219 + l.223;inflation n°24 : le cap des 21 M « ne fut effectivement fixé dans le code qu'en 2014 » — BIP-0042 le corrige : renforcement énoncé de l'intégrité du monnayage, corrigé avant exploitation
G032;CVE-2014-0160 — Remote memory leak via payment protocol (Heartbleed);bitcoin;2014-07-04;25;CVE-2014-0160;chantier;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe;crisisType Inconnue, exploited inconnu — ET date catalogue 2014-07-04 CONTREDITE par la correction v112 validée (Heartbleed = 2014-04-07, graphe corrigé) : correction à porter en v3-3, chantier d'ici là
G034;CVE-2015-3641 — OOM via p2p — Unspecified yet;bitcoin;2015-06-27;27;CVE-2015-3641;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°27 — ± (r2 par extension)
G033;BIP-66 — Strict DER signatures — Fake Conf & Chain Split;bitcoin;2015-07-04;26;;chantier;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);conf_methodique(-);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.231-235;Netsplit n°26 RÉALISÉ (fork du 4 juillet 2015, BIP-66) : remise en ordre par coordination sociale énoncée pour la classe
G035;BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY;bitcoin;2015-11-12;28;;chantier;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);nd;moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.211;soft fork BIP-65 classé Fake Conf : le sens (vulnérabilité introduite ou résolue par le BIP, l.211) n'est pas énoncé pour cette ligne — nd assumé
G036;BIPs 68, 112 & 113 — Soft forks: Rel locktime, CSV & MTP locktime;bitcoin;2016-04-11;29;;chantier;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);nd;moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.211;soft forks BIP-68/112/113 classés Fake Conf — même réserve que BIP-65, nd assumé
G037;CVE-2016-8889 — Debug console history storing sensitive info;bitcoin;2016-10-27;30;CVE-2016-8889;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;haute;wiki des crises (ch.III l.181-249) via graphe;Exposition n°30 (console de debug) — hors propriétés monétaires, nd assumé
G008;CVE-2017-9230 (ASICboost);bitcoin;2017;31;CVE-2017-9230;chantier;douteuse;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe;ASICboost : « statut contesté » au wiki même — la qualité de crise reste débattue, validité incertaine
G038;BIP-148 — Soft fork: SegWit UASF;bitcoin;2017-03-12;32;;chantier;chantier;acte_ponctuel;initiateur;;partisans UASF (communautes_forums);nd;basse;wiki des crises (ch.III l.181-249) via graphe;BIP-148 UASF : l'acte exact recensé (publication du BIP 12/03/2017 vs campagne d'activation été 2017) reste à préciser · « User Activated » énoncé par l'intitulé seul — chantier
G009;CVE-2018-20587 (Vol, Luke Dashjr);altcoin;2018;36;CVE-2018-20587;chantier;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(±);basse;wiki des crises (ch.III l.181-249) via graphe + ch.III l.249;Theft n°36 non exploité (±, r2) — MAIS systeme=altcoin à vérifier (CVE Bitcoin Knots ? implémentation vs protocole) : chantier tant que le rattachement n'est pas éclairci
G010;CVE-2018-20586 (Tromperie, injection journal);bitcoin;2018;38;CVE-2018-20586;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;haute;wiki des crises (ch.III l.181-249) via graphe;Tromperie (injection journal) n°38, non exploitée : aucun effet sur propriété monétaire énoncé — nd assumé
G039;CVE-2017-12842 — No commitment to block merkle tree depth;bitcoin;2018-06-09;33;CVE-2017-12842;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.200;Preuve SPV falsifiée n°33 : fausse preuve de paiement possible — falsification potentielle, ± (r2)
G040;CVE-2016-10724 & CVE-2016-10725 — Alert system — Memory exhaustion & Final alert cancellation;bitcoin;2018-07-02;34;CVE-2016-10724 & CVE-2016-10725;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°34 — ± (r2 par extension)
G041;CVE-2017-18350 — Buffer overflow from SOCKS proxy;bitcoin;2019-06-22;37;CVE-2017-18350;chantier;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe;crisisType Inconnue, exploited inconnu : information insuffisante — chantier conservé
G005;Crise BIP-0016 (Attaque P2SH);bitcoin;;9;;chantier;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe;sans date — codage d'épreuve (rôles, mode) déjà porté par q7-epreuve-lot-v2 et catalogue-roles-v0 · chantier tant que la date manque
