id;date;precision;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;fil;source;notes
E020;2011;annee;seuil;Parite 1 BTC = 1 dollar (saluee par Slashdot);poc;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;marches;ch.I l.271;debut 2011
E021;2011;annee;acte;Lancement de Silk Road (Ulbricht);poc;i;bitcoin;entrepreneurs_exchanges;communautes_forums;marches_plateformes;adoption;;usage_paiement(+);non;peche;ch.I l.279 + fig. n 6;texte - lance a la phase precedente
E022;2011;annee;acte;Creation de Bitcoin Magazine (Buterin et Alisie);poc;iv;bitcoin;medias_connaissance;;presse_medias;innovation_infrastructurelle;;nd;non;mediatisation;ch.I l.391 + l.281;[CHANTIER: fig. situe la premiere publication en 2012]
E023;2011;annee;acte;WeUseCoins - media specialise d'education;poc;iv;bitcoin;medias_connaissance;;presse_medias;adoption;;nd;non;mediatisation;ch.I l.271 + fig. n 6;date texte non donnee
E024;2011;annee;acte;Electrum - premier portefeuille leger non custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;portefeuilles;ch.I n.74 l.607;fin 2011
E025;2011;annee;acte;Creation de la procedure BIP (Taaki);poc;vi*;bitcoin;core_devs;;depots_de_code;innovation_infrastructurelle;;nd;non;gouvernance;ch.I l.391 + ch.III l.449;[CHANTIER: date non donnee dans les fichiers autorises]
E026;2011-04;mois;acte;Article Forbes (Greenberg);poc;iv;bitcoin;medias_connaissance;;presse_medias;qualification_publique;;valorisation(+);non;mediatisation;ch.I l.271;cours pousse a 1.14 dollar
E027;2011-06-04;jour;acte;PayPal retire de Bitcoinmarket.com (fraudes);poc;i*;bitcoin;institutions_financieres;;marches_plateformes;incident;;liquidite_convertibilite(-);non;marches;ch.I n.75 l.609;
E028;2011-06-14;jour;acte;WikiLeaks annonce accepter les BTC;poc;i*;bitcoin;medias_connaissance;;presse_medias;adoption;;valorisation(+);non;acces-usage;ch.I l.271 + l.277;cours multiplie par 8 - canal financier auxiliaire (texte)
E029;2011-07;mois;acte;Flash crash MtGox (32 vers 0.01 dollar);poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;incident;;conf_methodique(-);non;marches;ch.I l.271;problemes de securite - effet 2 valorisation(-)
E030;2011-09;mois;acte;Pieces Casascius (stockage a froid numismatique);poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;portefeuilles;ch.I n.74 l.607;
E031;2011-10;mois;acte;Lancement de Litecoin (C. Lee);poc;vii;altcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;altcoins;ch.I l.359;debut octobre 2011
E032;2012;annee;acte;Entree du capital-risque (2.1 M dollars investis);peche;i*;transversal;institutions_financieres;;marches_plateformes;financiarisation;;nd;non;financiarisation;ch.I n.90 l.639;annee a cheval poc/peche - phase indicative
E033;2012;annee;acte;SatoshiDice lance (Voorhees);peche;i;bitcoin;entrepreneurs_exchanges;;entreprises_services;adoption;;usage_paiement(+);non;peche;ch.I l.279 + fig. n 6;date texte non donnee
E034;2012;annee;acte;Creation de Coinbase;peche;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;nd;non;marches;fig. n 6 + ch.I l.287;[CHANTIER: localisation texte de la creation]
E035;2012;annee;acte;Lancement de la Fondation Bitcoin;peche;viii*;bitcoin;communautes_forums;entrepreneurs_exchanges;entreprises_services;innovation_infrastructurelle;;nd;non;representation;ch.I l.281 + n.84 l.627;fin 2012 - CA Karpeles Andresen Shrem
E036;2012-01;mois;acte;The Second Bitcoin Whitepaper (Willett);poc;vii;altcoin;core_devs;;listes_forums;innovation_protocolaire;;nd;non;ico;ch.I l.373;conception du metaprotocole Mastercoin
E037;2012-10-29;jour;acte;Rapport BCE Virtual Currency Schemes;peche;v*;transversal;regulateurs_etats;;instances_publiques;qualification_publique;;nd;non;conformite;ch.I l.281 + fig. n 6 (date);pousse a l'emergence de services de conformite (texte)
E038;2013;annee;seuil;Pic des activites pecheresses (env. 51 pct on chain);peche;i*;bitcoin;nd;;on_chain;nd;;nd;non;peche;ch.I l.279;pic sur la phase de peche (Tasca et Liu)
E039;2013;annee;acte;Scission de chaine v0.8 (crise n 19);peche;vi;bitcoin;core_devs;mineurs;on_chain;incident;;nd;oui (n 19);crises-protocolaires;ch.I n.104 l.667;etiquetee CVE 2013 3220 par le texte - mars 2013 (fig.) - recensement seul
E040;2013;annee;acte;Publication du WP d'Ethereum (Buterin);maturation;vii;ethereum;core_devs;;listes_forums;innovation_protocolaire;;nd;non;ethereum;ch.I l.399;WP de 2013 - phase indicative (fin 2013)
E041;2013;annee;acte;Saisie de Silk Road (FBI) - arrestation d'Ulbricht;peche;v;bitcoin;regulateurs_etats;;instances_publiques;regulation;;valorisation(-);non;conformite;ch.I l.281;fin 2013 - chute brutale du cours (texte) - declin des flux illegaux
E042;2013;annee;acte;Nasdaq publie des cotations agregees;maturation;i*;bitcoin;institutions_financieres;;marches_plateformes;financiarisation;;nd;non;financiarisation;ch.I l.289;fin 2013 - phase indicative
E043;2013;annee;seuil;Transactions illegales sous 1 pct (fin 2013-2018);maturation;i*;bitcoin;nd;;on_chain;nd;;nd;non;peche;ch.I l.287;Chainalysis
E044;2013-04;mois;acte;BIP16 (P2SH) implementee - multi-signatures;peche;vi;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;conf_methodique(+);non;portefeuilles;ch.I l.277 + n.80 l.619;en rouge (texte) - BIP39 associee - integree par BitGo des aout
E045;2013-04;mois;seuil;Crise chypriote - BTC valeur refuge a 230 dollars;peche;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;marches;ch.I l.281;capitalisation vers 1 Md dollars
E046;2013-05;mois;acte;Attaque DDOS sur MtGox - chute a 76 dollars;peche;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;incident;;valorisation(-);non;marches;ch.I l.281;effet 2 conf_methodique(-)
E047;2013-07;mois;acte;Comite interprofessionnel DATA cree;peche;v*;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;representation;ch.I l.281;
E048;2013-07-31;jour;acte;Lancement du reseau Mastercoin - premiere ICO (5120 BTC);peche;vii;altcoin;core_devs;entrepreneurs_exchanges;marches_plateformes;financiarisation;innovation_protocolaire;nd;non;ico;ch.I l.373;premine critiquee (Buterin 2013a)
E049;2013-11-19;jour;acte;Audition au Senat americain (Bitcoin Foundation);maturation;v*;bitcoin;regulateurs_etats;communautes_forums;instances_publiques;qualification_publique;;conf_hierarchique(+);non;conformite;ch.I l.293;affermissement de sa reconnaissance (texte) - effet 2 valorisation(+)
E050;2013-12;mois;seuil;Cours proche de 1000 dollars;maturation;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;marches;ch.I l.293;
E051;2014;annee;acte;Fixation effective du cap des 21 M (2e crise faux monnayage);maturation;vi;bitcoin;core_devs;;depots_de_code;incident;innovation_protocolaire;nd;oui;crises-protocolaires;ch.III l.223 + l.219;[CHANTIER: n (24 ?) a confirmer] - recensement seul
E052;2014;annee;acte;Tether (USDT) - premier stablecoin dollar via Omni;maturation;vii;altcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;nd;non;stablecoins;ch.I l.373 + l.289 + n.87 l.633;[CHANTIER: date non donnee dans le texte] - dollarisation de Bitcoin (Koning 2015)
E053;2014;annee;acte;Ledger apres Trezor - portefeuilles physiques;maturation;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;conf_methodique(+);non;portefeuilles;ch.I l.289;des 2014 - Entretien n 8 cite par le texte
E054;2014-01-26;jour;acte;Annonce publique d'Ethereum (Miami);maturation;vii;ethereum;core_devs;;evenements_conferences;innovation_protocolaire;;nd;non;ethereum;ch.I l.399;North American Bitcoin Conference
E055;2014-02;mois;acte;Faillite de MtGox;maturation;viii*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;incident;;nd;non;marches;fig. n 6 + ch.I l.313;[CHANTIER: localisation texte hors fichiers autorises] - faillites et hacks en violet (l.313)
E056;2014-07-22;jour;acte;Ether Genesis Sale (42 jours - 31725 BTC);maturation;vii;ethereum;core_devs;;marches_plateformes;financiarisation;;nd;non;ico;ch.I l.399;prevente en BTC sous egide de la Fondation Ethereum (Zoug)
E057;2014-11-24;jour;acte;Devcon-0 (Berlin);maturation;vii;ethereum;core_devs;;evenements_conferences;innovation_infrastructurelle;;nd;non;ethereum;ch.I l.399;
E058;2015;annee;acte;NYSE publie des cotations;maturation;i*;bitcoin;institutions_financieres;;marches_plateformes;financiarisation;;nd;non;financiarisation;ch.I l.289;
E059;2015;annee;acte;Levee record Coinbase (75 M dollars);maturation;i*;bitcoin;institutions_financieres;entrepreneurs_exchanges;marches_plateformes;financiarisation;;nd;non;financiarisation;ch.I n.90 l.639;
E060;2015;annee;acte;Pivot blockchain sans les UCN (acteurs financiers et medias);maturation;iv*;transversal;institutions_financieres;medias_connaissance;presse_medias;qualification_publique;;nd;non;mediatisation;ch.I l.289;disqualification des UCN - annee charniere (texte)
E061;2015-05-09;jour;acte;Testnet Olympic (9e iteration);maturation;vii;ethereum;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;ethereum;ch.I l.399;
E062;2015-07-20;jour;acte;Lancement d'Ethereum Frontier (mainnet);maturation;vii;ethereum;core_devs;;on_chain;innovation_protocolaire;;nd;non;ethereum;ch.I l.399;[CHANTIER: fig. indique 30/07 - divergence avec le texte 20/07] - encadre rouge fig.
E063;2016-04-30;jour;acte;Mise en ligne de The DAO - crowdsale de 28 jours;maturation;vii;ethereum;entrepreneurs_exchanges;communautes_forums;on_chain;financiarisation;;nd;oui (sequence DAO);dao;ch.III l.549 + l.535-543;date deduite (cloture 28 mai moins 28 jours - l.549) [CHANTIER: a verifier] - recensement seul
E064;2016-05;mois;acte;Appel a moratoire sur The DAO (papier d'alerte);maturation;vii;ethereum;medias_connaissance;;presse_medias;qualification_publique;;nd;oui (sequence DAO);dao;ch.III l.553-557;experts et chercheurs (cf. Q6) - fin mai 2016 - recensement seul
E065;2016-06-17;jour;acte;Attaque de The DAO (drainage des fonds);maturation;vii;ethereum;nd;;on_chain;incident;;nd;oui;dao;ch.III l.561 + l.565;attaquant anonyme hors typologie - recensement seul (SASE)
E066;2016-07-10;jour;acte;Creation du depot GitHub Ethereum Classic;maturation;vii;ethereum;communautes_forums;;depots_de_code;innovation_protocolaire;;nd;oui (sequence DAO);dao;ch.III l.733;cree par un anonyme - recensement seul
E067;2016-07;mois;acte;Hard Fork d'Ethereum (restitution des fonds);maturation;vii;ethereum;core_devs;communautes_forums;on_chain;innovation_protocolaire;;nd;oui;dao;ch.III section III.3 (l.657-731);[CHANTIER: date exacte a relever] - entre le 10 et le 22 juillet (l.733 l.735) - recensement seul
E068;2016-07-22;jour;acte;Adoption du ticker ETC - secession Ethereum Classic;maturation;vii;ethereum;communautes_forums;entrepreneurs_exchanges;marches_plateformes;innovation_protocolaire;;nd;oui (post-fork);dao;ch.III l.735;recensement seul
E069;2016-10;mois;acte;PR 9049 (Corallo) - insemination de CVE-2018;maturation;vi;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;oui (sequence CVE-2018);crises-protocolaires;ch.III l.87;recensement seul (analyse SASE)
E070;2017;annee;seuil;Franchissement durable des 1000 dollars (debut 2017);maturation;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;marches;ch.I l.293;
E071;2017;annee;acte;Congestion - saturation des capacites et frais en hausse;maturation;ii*;bitcoin;communautes_forums;;on_chain;incident;;usage_paiement(-);non;scaling;ch.I l.293;usage lent et cher (texte)
E072;2017;annee;acte;Fork contentieux - creation de Bitcoin Cash;maturation;vi;bitcoin;communautes_forums;mineurs;on_chain;innovation_protocolaire;;nd;non;scaling;ch.I l.295;schisme protocolaire et communautaire - jalons fins au ch.II II.3.3 [hors perimetre]
E073;2017;annee;acte;Futures Bitcoin (CBOE et CME);maturation;i*;bitcoin;institutions_financieres;;marches_plateformes;financiarisation;;nd;non;financiarisation;ch.I l.289;courant 2017
E074;2017-12;mois;seuil;Cours proche de 20000 dollars (fin 2017);maturation;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;marches;ch.I l.293;prix multiplie par 20 sur l'annee
E075;2018;annee;acte;Implementation du Lightning Network;maturation;vi;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;scaling;ch.I l.295;en rouge (texte) - promesse de resolution non codee en effet
E076;2018;annee;seuil;Point bas vers 3300 dollars (2018-2019);maturation;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(-);non;marches;ch.I l.293;
E077;2018-09;mois;acte;CVE-2018-17144 - divulgation responsable et correctif secret;maturation;vi;bitcoin;core_devs;;depots_de_code;incident;innovation_protocolaire;nd;oui;crises-protocolaires;ch.III l.11 + l.39 + l.476;IRC 18/09 - recensement seul (analyse SASE)
E078;2019;annee;seuil;Stabilisation vers 8000 dollars (2019-2020);maturation;i*;bitcoin;nd;;marches_plateformes;nd;;nd;non;marches;ch.I l.293;
