id;date;crisis_no;cve;intitule;systeme;domaine_8;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;fil;codage_statut;codage_justif;notes
G006;2013;19;CVE-2013-3220;CVE-2013-3220 (Netsplit BIP-0050);bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Scission du réseau (Netsplit) ; exploited=oui (double dépense ~10 000£ sur okpay) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G028;2013-03-11;20;CVE-2013-3219;CVE-2013-3219 — Unenforced block protocol rule;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G029;2013-02-08;21;CVE-2013-4627;CVE-2013-4627 — Memory exhaustion with excess tx message data;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G030;2013-07-20;22;CVE-2013-4165;CVE-2013-4165 — Timing leak in RPC authentication;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Vol (Theft) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G031;2013-09-04;23;CVE-2013-5700;CVE-2013-5700 — Remote p2p crash via bloom filters;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G007;2014-04-01;24;;BIP-0042 — Bitcoin Fixed Monetary Supply (Inflation Bug);bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Faux monnayage (Inflation) ; exploited=non (corrigé avant exploitation) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G032;2014-07-04;25;CVE-2014-0160;CVE-2014-0160 — Remote memory leak via payment protocol (Heartbleed);bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Inconnue (Unknown) ; exploited=inconnu ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G033;2015-07-04;26;;BIP-66 — Strict DER signatures — Fake Conf & Chain Split;bitcoin;;core_devs;;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) + Scission du réseau ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";
G034;2015-06-27;27;CVE-2015-3641;CVE-2015-3641 — OOM via p2p — Unspecified yet;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G035;2015-11-12;28;;BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY;bitcoin;;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G036;2016-04-11;29;;BIPs 68, 112 & 113 — Soft forks: Rel locktime, CSV & MTP locktime;bitcoin;;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G037;2016-10-27;30;CVE-2016-8889;CVE-2016-8889 — Debug console history storing sensitive info;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Exposition (Exposure) ; exploited=non ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G008;2017;31;CVE-2017-9230;CVE-2017-9230 (ASICboost);bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Inconnue (Unknown) — statut contesté ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G038;2017-03-12;32;;BIP-148 — Soft fork: SegWit UASF;bitcoin;;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G039;2018-06-09;33;CVE-2017-12842;CVE-2017-12842 — No commitment to block merkle tree depth;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Preuve SPV falsifiée (Fake SPV proof) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G042;2013-03-24;0034;;BIP-0034 — Mandatory block protocol update (Height in coinbase);bitcoin;;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) — Soft fork ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G040;2018-07-02;34;CVE-2016-10724 & CVE-2016-10725;CVE-2016-10724 & CVE-2016-10725 — Alert system — Memory exhaustion & Final alert cancellation;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G009;2018;36;CVE-2018-20587;CVE-2018-20587 (Vol, Luke Dashjr);altcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Vol (Theft) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G041;2019-06-22;37;CVE-2017-18350;CVE-2017-18350 — Buffer overflow from SOCKS proxy;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Inconnue (Unknown) ; exploited=inconnu ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G010;2018;38;CVE-2018-20586;CVE-2018-20586 (Tromperie, injection journal);bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Tromperie (Deception) ; exploited=non ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G013;2009-01-03;;;Genesis Block — Lancement du protocole Bitcoin;bitcoin;vi;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=GENESIS — Lancement du protocole ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G011;2013;;;Fermeture Silk Road par le FBI (octobre 2013);bitcoin;v;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fermeture réglementaire — saisie par les autorités ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
