nom_actuel;entity_id;type_actuel;degre;categorie;preuve_pdf;conflit;risque_conflation;recommandation;justification
Guillaume Dréan;7cd4cfe4c8d74aaaaeabcd17ebf11b3a;Reference;2;douteuse;« DRÉAN Gérard, 2013, « Au-delà de Bitcoin (5) : l'avenir des monnaies et systèmes de paiement », Institut Turgot »;le nœud dit « Guillaume », la bibliographie ne connaît que DRÉAN Gérard;moyen;renommer-puis-retyper;Auteur du nœud « Dréan 2013 » qui correspond à l'entrée DRÉAN Gérard 2013 (paradoxe hayékien des maximalistes), unique Dréan, aucun homonyme: renommer « Gérard Dréan » puis retyper Person.
John Maynard Keynes;909cc7f5cae7466198dac07dff0b1f4f;Reference;1;douteuse;aucune (aucune entrée d'auteur KEYNES — le texte cite Keynes 1930 et le graphe garde un nœud titre seul « The General Theory »);aucun (prénom non contredit);faible;arbitrage-auteur;Identité mondiale sans ambiguïté (relation source of vers la monnaie de compte, fondement de l'IMF) mais aucune entrée Keynes au PDF: la règle de preuve interdit le retypage mécanique. Alternative: retyper sur notoriété ou laisser Reference.
Joseph Stiglitz;718e0d4dadda4180a04600fbf5c3ce51;Reference;1;douteuse;entrée anonyme « Bitcoin 'Ought to Be Outlawed,' Nobel Prize Winner Stiglitz Says - Bloomberg », 29 novembre 2017 (mention en titre);aucun (prénom non contredit, mais aucune entrée d'auteur STIGLITZ);faible;arbitrage-auteur;Économiste unique et notoire (Prix Nobel 2001), mais le PDF ne le connaît qu'en sujet d'une entrée anonyme Bloomberg: pas d'entrée d'auteur, donc pas de preuve admissible. Alternative: retyper sur notoriété ou laisser Reference.
Jérôme Favier;53525938440543a5af359337eeab9823;Reference;2;douteuse;« FAVIER Jacques, 2021 », « FAVIER Jacques, 2017, « Tulipes » », « FAVIER Jacques et TAKKAL BATAILLE Adli, 2017 »;le nœud dit « Jérôme », les trois entrées FAVIER du PDF disent Jacques;moyen;renommer-puis-retyper;Incident signalé par l'audit du 06/08 (« Jérôme Favier vs FAVIER Jacques »), prénom peut-être contaminé par « BOYER DES ROCHES Jérôme ». Cité en Intro et chap. II où seuls les textes de Jacques Favier sont mobilisés: renommer « Jacques Favier » puis retyper.
Kyle Croman;03fd59f205f24666968722d5b4e1bab9;Reference;2;douteuse;aucune (« Croman et al. 2016 », cité au chap. I du texte, est absent du PDF — cf. audit §2.a);aucun (prénom non contredit);faible;arbitrage-auteur;Premier auteur réel de Croman et al. 2016 (scalabilité), auteur du nœud homonyme dans le graphe, mais ni lui ni son article ne figurent dans la bibliographie du PDF: aucune preuve admissible. Alternative: retyper sur notoriété ou laisser Reference.
Laura DeNardis;5fc4278b78704f6c92c3744e2654518a;Reference;2;douteuse;« DENARDIS Laura et MUSIANI Francesca, 2014, « Governance by Infrastructure: Introduction, "The Turn to Infrastructure in Internet Governance" » »;aucun (patronyme et prénom exactement confirmés par l'entrée d'auteur du PDF);faible;retyper;L'entrée d'auteur du PDF confirme « Laura DeNardis » (première autrice de DeNardis et Musiani 2014, dont le nœud existe), aucun homonyme Person dans v110: la raison d'exclusion du patch_18 (« prénom contredit ou sans entrée ») est factuellement fausse.
Lionel Robbins;179aa1fe59cd4aa89596a7f6ac8a864c;Reference;1;douteuse;aucune (aucune entrée ROBBINS — le texte cite « Robbins, cité par Maucourant et Plociniczak 2012 », lui-même absent du PDF);aucun (prénom Lionel non contredit);faible;arbitrage-auteur;Fiche vide citée de seconde main dans l'introduction (définition formelle de l'économie): l'économiste visé est très probablement Lionel Robbins mais aucune preuve admissible au PDF. Alternative: retyper sur notoriété ou laisser Reference.
Marco Corallo;f270bfdb07d441d59eca436184b1450a;Reference;2;homonymie;« MCCORMACK Peter et CORALLO Matt, 2019, « How Bitcoin Works with Matt Corallo » » et « OSUNTOKUN Olaoluwa, CAMARENA Justin, CORALLO Matt », 2019;le nœud dit « Marco », la bibliographie ne connaît que CORALLO Matt, et la Person « Matt Corallo » (548ff3dd) existe déjà — la fiche porte même une relation authored vers elle;eleve;arbitrage-auteur;Retyper créerait une seconde Person de la même personne réelle sous un prénom faux, la description du nœud signale elle-même le doublon probable. Alternative: fusionner dans « Matt Corallo » (en réaffectant la relation mentions actor de I.2.2) ou supprimer la fiche.
Martti Malmi (Sirius);10973e59658ab43d2652a03ebd56a505;Reference;3;homonymie;« BIT2ME ACADEMY, « Qui est Martti Malmi ? », https://academy.bit2me.com/fr/qui-est-martti-malmi/ » (Malmi y est le sujet, pas l'auteur);la Person « Martti Malmi » (e395c577) existe déjà;eleve;arbitrage-auteur;Retyper garantirait deux Person pour le même développeur finlandais (premier contributeur après Nakamoto). Alternative: fusionner la fiche (sa quote et son cited in chap. I) dans la Person existante.
Neil Gandal;d66fdb7349e04a84b2850d2cb4b7f2de;Reference;2;douteuse;aucune (« Gandal et al. 2018 » et « Halaburda et Gandal 2014 », cités par le texte, sont absents du PDF — cf. audit §2.a);aucun (prénom non contredit);faible;arbitrage-auteur;Économiste réel (Tel-Aviv), auteur du nœud « Gandal et al. 2018 » dans le graphe, mais ni lui ni ses articles ne figurent dans la bibliographie du PDF: aucune preuve admissible. Alternative: retyper sur notoriété ou laisser Reference.
Shinobi (pseudonyme);b332ace807b84fe4ab2373b8dc8f4856;Reference;2;douteuse;« SHINOBI, 2022, « Why Bitcoin's Ossification Will Eventually Be Necessary », Bitcoin Magazine »;aucun (pseudonyme sans prénom, entrée d'auteur exacte au PDF);faible;retyper;L'entrée d'auteur SHINOBI 2022 du PDF correspond exactement au nœud « Shinobi 2022 » dont la fiche est l'auteur, aucun homonyme dans v110: la raison d'exclusion (« sans entrée d'auteur ») est factuellement fausse — un pseudonyme n'a pas de prénom à contredire.
Tyler Winklevoss;dcd10825d6ddd231dda4b6057d7296c1;Reference;3;douteuse;« MULLIN Joe, 2013, « Winklevoss twins create fund to trade Bitcoins on stock market » » (mention en titre, pas entrée d'auteur);la bibliographie ne connaît que les « Winklevoss twins » (deux personnes réelles), l'attribution à Tyler vient du corps de la thèse (« Tyler Winklevoss, cité par Mullin 2013 », chap. I et III);faible;arbitrage-auteur;Le prénom Tyler est attesté par le texte de la thèse mais pas par la bibliographie, seule preuve admissible. Alternative: retyper sur la foi du texte (attribution explicite et répétée à Tyler) ou laisser Reference.
