volet,entity_id,entity_name,entity_types,cle_date,valeur_date,a_dateSource,valeur_dateSource,a_dateAuthority,valeur_dateAuthority,a_url,qualite_source,relations_probatoires,entree_biblio_appariee,annee_biblio,statut,decision_requise,question_pour_mael,notes,regime_de_preuve,confirme_par_these,motif_regime
1_dates_evenements,db9a125c4c7a4d03bd19d3dc8c474a9e,Bitcoin CVE 2018-17144,CrisisEvent,date,2018-09-01T00:00:00.000Z,non,,non,,oui,aucune,cites→0e846ffeb3614e4b834379420cf5700e (Entretien n°10)|cites→437720ccbf8544bf9021181d3b3ba289 (Entretien n°14)|cites→8a7bae687d81490b9eb3d16da8b5a7f1 (Entretien n°20)|cites→9490d22bd0b84fd492f1f203642cfdf1 (Entretien n°15)|cites→a9848140eab84d8783554af31477a6dd (Entretien n°17)|cites→d5ba79b06d404e4e92f3876057be65a7 (Entretien n°19)|part of[inverse]→0b39eebac0c94fc7a2f210e800a6ac59 (Quote — CVE 2018 : résolution silencieuse off chain)|part of[inverse]→3fc6a16c37b34d0f874290984f04553a (Quote — divulgation responsable (CVE 2018))|part of[inverse]→6b2b1f8797794456b3cbb3ae3e635b56 (Quote — CVE 2018 : aucune tentative d’exploitation détectée)|part of[inverse]→7fd447b64e184701a40c4c19c579d712 (Quote — CVE 2018 : le « mensonge blanc » s’évente (20/09))|part of[inverse]→90999270714a419d962a5c1260d69d69 (Quote — CVE 2018 : hash rate déjà mis à niveau)|part of[inverse]→c54092da200441519f388c649307c386 (Quote — CVE 2018 : non-activation (ni exploitation ni accident))|quote supports[inverse]→09150d4b4c8d46398813b5c774e1b405 (Quote — CVE-2018-17144 (absence d’exploitation effective))|quote supports[inverse]→09cd4a94a5c94e1ab6b0283f9c6bc154 (Quote — CVE-2018-17144 (table des canaux mobilisés))|quote supports[inverse]→0c0ae5d318144d75a198399716a74ff2 (Quote — CVE-2018-17144 (gouvernance de huis clos))|quote supports[inverse]→1400799615ac4d479b2dfb022999df0d (Quote — CVE-2018-17144 (absence de controverse))|quote supports[inverse]→7516b24c3adb4db8b2e4dd1bc1a75e7d (Quote — CVE-2018-17144 (divulgation responsable))|quote supports[inverse]→a5278302a3b54db891aa5d8b546b0459 (Quote — choix des deux crises (CVE 2018 #17144 / The DAO))|supported by quote→09150d4b4c8d46398813b5c774e1b405 (Quote — CVE-2018-17144 (absence d’exploitation effective))|supported by quote→09cd4a94a5c94e1ab6b0283f9c6bc154 (Quote — CVE-2018-17144 (table des canaux mobilisés))|supported by quote→0c0ae5d318144d75a198399716a74ff2 (Quote — CVE-2018-17144 (gouvernance de huis clos))|supported by quote→1400799615ac4d479b2dfb022999df0d (Quote — CVE-2018-17144 (absence de controverse))|supported by quote→7516b24c3adb4db8b2e4dd1bc1a75e7d (Quote — CVE-2018-17144 (divulgation responsable))|supported by quote→a5278302a3b54db891aa5d8b546b0459 (Quote — choix des deux crises (CVE 2018 #17144 / The DAO)),,,adosse_faible,non,,"adossement au niveau de la fiche seulement (sourcePage=33, sourcePages=33, 220, 224) : localise l'entité dans la thèse, pas sa date",source_primaire,oui,confirme par source primaire externe (primaire)
1_dates_evenements,e3742113c4674c52930e54ff203f0ac6,Bitcoin Scaling Debate,CrisisEvent,date,2015-2017,non,,non,,non,aucune,"quote supports[inverse]→597894115b8d44aeb51b8abd72ac78bd (Quote — Corallo : 'allez-vous faire foutre' (Scaling Debate, entretien)|source of[inverse]→58bad1bd625d4ff4928204acc3705e6e (Bier 2021a)",,,adosse_faible,non,,,these_verbatim,oui,"confirme mot pour mot par le texte de la these — source PROVISOIRE : la these est ici juge et partie, et le chantier a montre qu elle se contredit parfois elle-meme"
1_dates_evenements,2e5d597d1add45de83a060caea9a05c3,Bogue Bitcoin-Qt Windows 2012 (Crash nœuds),CrisisEvent,year,2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,approximatif,non,granularite « annee » : la date elle-meme ne designe pas un jour
1_dates_evenements,dddeabcb23464ee48e9524a6ac71c6eb,CVE-2010-5137 — OP_LSHIFT crash,CrisisEvent,date,28/07/2010,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,d6af94403c654e33a826339a6d612463,CVE-2010-5138 — Unlimited SigOp DoS via OP_CHECKSIG,CrisisEvent,date,29/07/2010,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,7246b452d71d4416b146f62f42a2bb64,CVE-2010-5140 — Never confirming transactions,CrisisEvent,date,29/09/2010,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 29/09/2010 » de « CVE-2010-5140 — Never confirming transactions » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,0423dfbdf0904305b1d7e48c3df78ae2,CVE-2010-5141 (Vol de clés privées),CrisisEvent,year,2010,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,approximatif,non,granularite « annee » : la date elle-meme ne designe pas un jour
1_dates_evenements,3c57e750960e4e97bf6cb2ba79e9f2cd,CVE-2011-4447 — Wallet non-encryption,CrisisEvent,date,11/11/2011,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,a9f76f92c83143479499d10b87c6fe77,CVE-2012-1909 — Transaction overwriting,CrisisEvent,date,07/03/2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,69b8894ae6764333a270770b1fd661f3,CVE-2012-2459 — Block hash collision (via merkle root),CrisisEvent,date,14/05/2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,522baf7957ec403bb149dd90adb1ba6e,CVE-2012-3789 — (Lack of) orphan txn resource limits,CrisisEvent,date,12/05/2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,65b41c49b2244a85ab136ed849d95b6b,CVE-2012-4682 — DOS (manque d'informations),CrisisEvent,date,16/09/2012,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 16/09/2012 » de « CVE-2012-4682 — DOS (manque d'informations) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,07328e2856b1462d882bd1a6a7dfdafa,CVE-2012-4683 — Targeted DoS by CPU exhaustion using alerts,CrisisEvent,date,23/08/2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,f5fd3b0f03fa4e11af9b54455a81cdd7,CVE-2012-4684 — Network-wide DoS using malleable signatures in alerts,CrisisEvent,date,24/08/2012,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,ee9911c3aa4c435582ccca09979c5000,CVE-2013-2272 — Remote discovery of node's wallet addresses,CrisisEvent,date,11/01/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 11/01/2013 » de « CVE-2013-2272 — Remote discovery of node's wallet addresses » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,580caacd80b14170b0d6dc071106071b,CVE-2013-2273 — Predictable change output,CrisisEvent,date,30/01/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 30/01/2013 » de « CVE-2013-2273 — Predictable change output » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,896936e6d50b46f89947a60e01aa584a,CVE-2013-2292 — A transaction that takes at least 3 minutes to verify,CrisisEvent,date,30/01/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 30/01/2013 » de « CVE-2013-2292 — A transaction that takes at least 3 minutes to verify » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,ce0f6a5e811447c8ba4674075a6cf057,CVE-2013-2293 — Continuous hard disk seek,CrisisEvent,date,09/01/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 09/01/2013 » de « CVE-2013-2293 — Continuous hard disk seek » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,0d3e806ee1f94421b7ff458eedc65ffa,CVE-2013-3219 — Unenforced block protocol rule,CrisisEvent,date,11/03/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 11/03/2013 » de « CVE-2013-3219 — Unenforced block protocol rule » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,72ed5cce1e98494385ca4eb091d6707c,CVE-2013-3220 (Netsplit BIP-0050),CrisisEvent,date,Mars 2013,non,,non,,oui,aucune,cited in→ad474c1724da4ec88cbd78f924613cc5 (Musiani Mallard Meadel 2018),,,adosse_faible,non,,,source_primaire,oui,confirme par source primaire externe (primaire)
1_dates_evenements,78dcb8a0af094eb0a1cea842f7f97212,CVE-2013-4165 — Timing leak in RPC authentication,CrisisEvent,date,20/07/2013,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,eb0766a0711945a08d6e4c526615bfd7,CVE-2013-4627 — Memory exhaustion with excess tx message data,CrisisEvent,date,08/02/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 08/02/2013 » de « CVE-2013-4627 — Memory exhaustion with excess tx message data » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,00586d082e964abab5d9f45c73948400,CVE-2013-5700 — Remote p2p crash via bloom filters,CrisisEvent,date,04/09/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 04/09/2013 » de « CVE-2013-5700 — Remote p2p crash via bloom filters » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,ca278d213d804294a2c5a672d52808e4,CVE-2014-0160 — Remote memory leak via payment protocol (Heartbleed),CrisisEvent,date,04/07/2014,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 04/07/2014 » de « CVE-2014-0160 — Remote memory leak via payment protocol (Heartbleed) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,5062acdef7964498a764823149c32127,CVE-2015-3641 — OOM via p2p — Unspecified yet,CrisisEvent,date,27/06/2015,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 27/06/2015 » de « CVE-2015-3641 — OOM via p2p — Unspecified yet » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,170ed4f7fcfb4531b7c872cb84cc8f80,CVE-2015-6031 — MiniUPnPc buffer overflow (LAN),CrisisEvent,date,15/09/2015,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 15/09/2015 » de « CVE-2015-6031 — MiniUPnPc buffer overflow (LAN) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,cfdb999d9b1c4989b7424a931fef16c4,CVE-2016-10724 & CVE-2016-10725 — Alert system — Memory exhaustion & Final alert cancellation,CrisisEvent,date,02/07/2018,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 02/07/2018 » de « CVE-2016-10724 & CVE-2016-10725 — Alert system — Memory exhaustion & F » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,5656bd5a2f974bbdb8d82530cdf936f3,CVE-2016-8889 — Debug console history storing sensitive info,CrisisEvent,date,27/10/2016,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,232fdda1778043d9b168884c0caad3a5,CVE-2017-12842 — No commitment to block merkle tree depth,CrisisEvent,date,09/06/2018,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,fc33fb06d95b42a09a1e08dae5fe8c87,CVE-2017-18350 — Buffer overflow from SOCKS proxy,CrisisEvent,date,22/06/2019,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,6159fc6febc14b1fa512e41f7a6308b6,CVE-2017-9230 (ASICboost),CrisisEvent,year,2017,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 2017 » de « CVE-2017-9230 (ASICboost) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,approximatif,non,granularite « annee » : la date elle-meme ne designe pas un jour
1_dates_evenements,19907a993e6c4b2392f503ec1863df9e,"CVE-2018-20586 (Tromperie, injection journal)",CrisisEvent,year,2018,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,approximatif,non,granularite « annee » : la date elle-meme ne designe pas un jour
1_dates_evenements,c6389ffe8f7a48668883b4845808c388,"CVE-2018-20587 (Vol, Luke Dashjr)",CrisisEvent,year,2018,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,approximatif,non,granularite « annee » : la date elle-meme ne designe pas un jour
1_dates_evenements,272f2d17b89d4912aca1c4f7b77b7332,Fermeture Silk Road par le FBI (octobre 2013),CrisisEvent,date,Octobre 2013,non,,non,,non,aucune,cited in→ad474c1724da4ec88cbd78f924613cc5 (Musiani Mallard Meadel 2018),,,adosse_faible,non,,seul repère textuel : chapter=Chapitre I / Conclusion Chapitre III — trop large pour adosser une date,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,c8b77447d55c4ff08810620dc9370f67,Genesis Block — Lancement du protocole Bitcoin,CrisisEvent,date,03/01/2009,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 03/01/2009 » de « Genesis Block — Lancement du protocole Bitcoin » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,these_verbatim,oui,"confirme mot pour mot par le texte de la these — source PROVISOIRE : la these est ici juge et partie, et le chantier a montre qu elle se contredit parfois elle-meme"
1_dates_evenements,63ef4f3d8f584d9b90e351ab7c7c4b39,Hack et faillite MtGox (février 2014),CrisisEvent,date,Février 2014,non,,non,,non,aucune,cited in→ad474c1724da4ec88cbd78f924613cc5 (Musiani Mallard Meadel 2018),,,adosse_faible,non,,seul repère textuel : chapter=Chapitre I / Chapitre III — trop large pour adosser une date,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,fc5ad50cc59d417c9afd05b437a42366,Parity Multisig Freeze (novembre 2017),CrisisEvent,date,6 novembre 2017,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 6 novembre 2017 » de « Parity Multisig Freeze (novembre 2017) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,73712fc1060c48fc8bcc52b1dee2137c,CVE-2018-17144 — Remise en ordre par patch,CrisisPhase,timeStart,2018-09-18,non,,non,,non,aucune,,,,adosse_faible,non,,"autres clés de date : timeEnd=2018-09-20 ; aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote ; adossement au niveau de la fiche seulement (thesisLocation=Chapitre III > III.1 Crise Bitcoin CVE 2018-17144) : localise l'entité dans la thèse, pas sa date",infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,896a139f04884630842b8c848ebdca94,CVE-2018-17144 — Révélation publique et consensus ex post,CrisisPhase,timeStart,2018-09-20,non,,non,,non,aucune,quote supports[inverse]→09150d4b4c8d46398813b5c774e1b405 (Quote — CVE-2018-17144 (absence d’exploitation effective))|quote supports[inverse]→1400799615ac4d479b2dfb022999df0d (Quote — CVE-2018-17144 (absence de controverse))|supported by quote→09150d4b4c8d46398813b5c774e1b405 (Quote — CVE-2018-17144 (absence d’exploitation effective))|supported by quote→1400799615ac4d479b2dfb022999df0d (Quote — CVE-2018-17144 (absence de controverse)),,,adosse_faible,non,,"autres clés de date : timeEnd=2018-09-25 ; adossement au niveau de la fiche seulement (thesisLocation=Chapitre III > III.1 Crise Bitcoin CVE 2018-17144) : localise l'entité dans la thèse, pas sa date",infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
