id;origine;date;precision;date_brute;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;crisis_no;cve;fil;source;source_graphe;acteurs_graphe;occurs_in;variantes;notes;gid
G064;graphe;2010-07-15;jour;;acte;Nakamoto introduces block size limit;poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Satoshi Nakamoto introduit discrètement la limite de bloc de 1MB en octobre 2010 (activée le 12 septembre 2010), décision qui deviendra le cœur du Scaling Debate.;4f7fd6dcbdc349a08df4b66d92cb9cdc
G079;graphe;2010-07-15;jour;;acte;Introduction d’une limite de bloc (activée 2010-09-12);poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Introduction discrète par Satoshi Nakamoto d'une limite de taille de bloc à 1 MB, activée le 12 septembre 2010 comme mesure anti-spam, devenu le cœur du Scaling Debate.;69aa91b1014e4143b79c9f3547c29c6d
G114;graphe;2010-07-15;jour;;acte;Limite de taille de bloc 1 Mo (15 juillet 2010);poc;vi;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Introduction secrète par Nakamoto de la limite de 1 Mo par bloc (version 0.3.2, publiée le 19 juillet 2010, entrée en vigueur le 07/09/2010). Une seule ligne de code (MAX_BLOCK_SIZ;646140677b0c4a67855bdb001f4680cf
G080;graphe;2010-07-18;jour;;acte;Première bourse d’échange importante (MtGox);poc;i;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;MtGox;Phase de preuve de concept [DevelopmentPhase];;Lancement de MtGox en juillet 2010 par Jed McCaleb, première bourse Bitcoin à grande échelle permettant les échanges BTC/USD, revendue à Mark Karpelès en 2011.;9670a4beed1a47bda5628c9770dddfd1
G014;graphe;2010-07-28;jour;;acte;CVE-2010-5137 — OP_LSHIFT crash;poc;;;;;;;;nd;oui;2;CVE-2010-5137;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;dddeabcb23464ee48e9524a6ac71c6eb
G065;graphe;2010-07-28;jour;;acte;First soft fork (Value overflow bug fix);poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier soft fork correctif Bitcoin en août 2010 pour corriger le bug d'overflow CVE-2010-5139 ayant créé 184 milliards de BTC, coordonné par Satoshi Nakamoto en 6 heures.;5b8c5959b2114befb0021a2c5d416e6f
G081;graphe;2010-07-28;jour;;acte;Soft fork : correction bug 'Void of bitcoin';poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Premier soft fork correctif Bitcoin en août 2010 pour corriger le bug d'overflow ayant créé 184 milliards de BTC, coordonné par Satoshi Nakamoto en 6 heures.;714f6de9e72d4162a186c2c0e459f15f
G015;graphe;2010-07-29;jour;;acte;CVE-2010-5138 — Unlimited SigOp DoS via OP_CHECKSIG;poc;;;;;;;;nd;oui;3;CVE-2010-5138;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;d6af94403c654e33a826339a6d612463
G094;graphe;2010-08-10;jour;;acte;Perte 9000 BTC (premier utilisateur, 10 aout 2010);poc;iii;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premiere perte declaree : 9000 BTC perdus par mauvaise gestion du fichier wallet.dat (Sedgwick 2019).;120e6fa2cdfa464ea7e51a34386adb73
E015;catalogue;2010-08-15;jour;;acte;Bogue Value Overflow (CVE-2010-5139 - crise n 4);poc;vi;bitcoin;core_devs;mineurs;on_chain;incident;innovation_protocolaire;nd;oui (n 4);;;crises-protocolaires;ch.III l.221 + l.237;;;;;scission de 51 blocs - remise en ordre Nakamoto et premiers devs - recensement seul (SASE);
G001;graphe;2010-08-15;jour;;acte;Bitcoin CVE 2010-5139 (Value Overflow);poc;;;;;;;;nd;oui;4;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;;;;273237e8600e4e289cd76da835a82e67
G016;graphe;2010-09-29;jour;;acte;CVE-2010-5140 — Never confirming transactions;poc;;;;;;;;nd;oui;5;CVE-2010-5140;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;7246b452d71d4416b146f62f42a2bb64
G121;graphe;2010-11;mois;;acte;BitDNS : projet DNS distribué précurseur de Namecoin (nov. 2010);poc;vi;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Hal Finney;Phase de preuve de concept [DevelopmentPhase];;Projet de DNS distribué discuté sur BitcoinTalk (nov. 2010). Nakamoto et Finney impliqués. Nakamoto propose le merge mining pour des 'destins distincts'. Précurseur direct de Namec;496ef75551f5475ab7f7ec0c6f31052a
G082;graphe;2010-11-15;jour;;acte;Correction d’un bug de type 'Inflation';poc;;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Correction d'urgence du bug CVE-2010-5139 permettant la création de 184 milliards de BTC, résolu par Satoshi Nakamoto en moins de 6 heures via un soft fork coordonné.;e2c89bd57671472cb2f471d04c34bf76
G066;graphe;2010-11-22;jour;;acte;BitcoinTalk forum created;poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;Forum Bitcoin créé par Satoshi Nakamoto en novembre 2009 (initialement Bitcoin Forum), principal espace de délibération de la communauté Bitcoin.;0d81bba0461d49a5af8997a20663d630
E016;catalogue;2010-11-27;jour;;acte;Slushpool - premier pool de minage cooperatif;poc;ii;bitcoin;mineurs;;entreprises_services;innovation_infrastructurelle;;nd;non;;;minage;ch.I l.315;;;;;controverse indigene (minage cooperatif = communisme);
G083;graphe;2010-11-27;jour;;acte;Première pool de minage (Slush Pool);poc;;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Marek Palatinus (Slush) | Slush Pool;Phase de preuve de concept [DevelopmentPhase];;Première coopérative de minage Bitcoin, fondée par Marek Palatinus (Slush) fin 2010 à Prague, permettant aux petits mineurs de partager les récompenses.;cc346d7c8cdf450ca81c1cd08d65b68c
E017;catalogue+graphe;2010-12;mois;;acte;BitLaundry - premier service de mixage;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;fongibilite(+);non;;;portefeuilles;ch.I n.74 l.607;I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;preserver la fongibilite (texte);64a49803ef464d83a7ae3a674d180ca8
E018;catalogue+graphe;2010-12;mois;;acte;Article PC World sur WikiLeaks - Bitcointalk sature;poc;iv*;bitcoin;medias_connaissance;;presse_medias;qualification_publique;;nd;non;;;mediatisation;ch.I l.273;"Chapitre I ; III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière";Satoshi Nakamoto | WikiLeaks;Phase de preuve de concept [DevelopmentPhase];;nid de frelons (Nakamoto);944c9169ed3d416f95bebdfd4b9b1d20
G117;graphe;2010-12;mois;;acte;Retrait de Nakamoto (décembre 2010);poc;iv;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Satoshi Nakamoto | Gavin Andresen | Mike Hearn | Martti Malmi;Phase de preuve de concept [DevelopmentPhase];;Dernier message public de Nakamoto le 12 décembre 2010. Retrait progressif dès fin 2010, motivé par la notoriété croissante et son refus d'être une 'mystérieuse figure d'ombre'. Pé;ae0f729d88cf472db6b6aeb80783594f
E019;catalogue;2010-12-12;jour;;acte;Dernier message public de Nakamoto;poc;vi*;bitcoin;core_devs;;listes_forums;[CHANTIER type];;nd;non;;;genese;ch.I l.113 + n.101 l.661;;;;;retrait du concepteur - hors typologie actuelle;
G067;graphe;2010-12-23;jour;;acte;First public French info site Bitcoin.fr;poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;Lancement de Bitcoin.fr, premier site francophone d'information sur Bitcoin, contribuant à la diffusion de la cryptomonnaie dans la communauté francophone.;4d123d178412441bbf33bfa8240e9c3c
E020;catalogue;2011;annee;;seuil;Parite 1 BTC = 1 dollar (saluee par Slashdot);poc;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;;;marches;ch.I l.271;;;;;debut 2011;
E021;catalogue;2011;annee;;acte;Lancement de Silk Road (Ulbricht);poc;i;bitcoin;entrepreneurs_exchanges;communautes_forums;marches_plateformes;adoption;;usage_paiement(+);non;;;peche;ch.I l.279 + fig. n 6;;;;;texte - lance a la phase precedente;
E022;catalogue;2011;annee;;acte;Creation de Bitcoin Magazine (Buterin et Alisie);poc;iv;bitcoin;medias_connaissance;;presse_medias;innovation_infrastructurelle;;nd;non;;;mediatisation;ch.I l.391 + l.281;;;;;[CHANTIER: fig. situe la premiere publication en 2012];
E023;catalogue+graphe;2011;annee;;acte;WeUseCoins - media specialise d'education;poc;iv;bitcoin;medias_connaissance;;presse_medias;adoption;;nd;non;;;mediatisation;ch.I l.271 + fig. n 6;I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;date texte non donnee;17c55315ca2a45db9d1dc895fcba105d
E024;catalogue+graphe;2011;annee;;acte;Electrum - premier portefeuille leger non custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;;;portefeuilles;ch.I n.74 l.607;I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;fin 2011;8bc6f2749a284bb7add34a1739cec310
E025;catalogue;2011;annee;;acte;Creation de la procedure BIP (Taaki);poc;vi*;bitcoin;core_devs;;depots_de_code;innovation_infrastructurelle;;nd;non;;;gouvernance;ch.I l.391 + ch.III l.449;;;;;[CHANTIER: date non donnee dans les fichiers autorises];
