section_key;entity_id;nom_actuel;type;page_start_actuel;page_imprimee_verifiee;ecart;statut;source_preuve;parent;page_start_parent;concernee_sourcequote;note
II.2;38e637cc84f14883b96d064b8e387c0f;II.2 « Pourtant, elles font monnaie » ! à l'aune d'un nominalisme « non étatiste » attentif aux usages;ThesisSection;;160;;absent;6_Chapitre_2.pdf p.160;Chapitre II - Dépasser la controverse du statut monétaire des CM par un institutionnalisme intéressé aux usages;;oui;table des matieres imprimee : accord (p.160)
II.2.1;8bc0fad78be816797b71877433c4a8b8;II.2.1 Des chimères monétaires inédites, reléguées à des usages spéculatifs;ThesisSection;161;161;0;correct;6_Chapitre_2.pdf p.161;II.2;;non;table des matieres imprimee : accord (p.161)
II.2.2;42f154e655e3c61c6d754a82f5dc4356;II.2.2 L'Institutionnalisme Monétaire Francophone : un nominalisme non étatique, apte à contenir les CM;ThesisSection;165;165;0;correct;6_Chapitre_2.pdf p.165;II.2;;non;parente legitimement anterieure : page_start 165 precede son premier enfant II.2.2.a (p.167) — ce n'est PAS une anomalie | table des matieres imprimee : accord (p.165)
II.2.2.a;f8a8acbfa05a53c07498346df21f6808;II.2.2.a Au-delà de la monnaie, l'argent : questionner la monétisation à l'aune des usages;ThesisSection;161;167;-6;incoherent;6_Chapitre_2.pdf p.167;II.2.2;165;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.2.1 » dans grc20-these-mael-rolland-v96.json, et son page_start 161 est exactement la page imprimee de « II.2.1 » , la valeur a suivi le noeud, pas la section — la page de « II.2.2.a » est p.167 | table des matieres imprimee : accord (p.167)
II.2.2.b;f34ad8e32d22d905708d07fc6f0e8150;II.2.2.b La monnaie comme système de paiement : monétisation et liquidité de dettes hétérogènes;ThesisSection;165;168;-3;incoherent;6_Chapitre_2.pdf p.168;II.2.2;165;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.2.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 165 est exactement la page imprimee de « II.2.2 » , la valeur a suivi le noeud, pas la section — la page de « II.2.2.b » est p.168 | table des matieres imprimee : accord (p.168)
II.2.2.c;0b521ac19a2f5ee0cdd07d7460ebdfd0;II.2.2.c La monnaie à l'épreuve : quand dettes, confiance et souveraineté se confrontent;ThesisSection;173;170;3;incoherent;6_Chapitre_2.pdf p.170;II.2.2;165;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.2.3 » dans grc20-these-mael-rolland-v96.json, et son page_start 173 est exactement la page imprimee de « II.2.3 » , la valeur a suivi le noeud, pas la section — la page de « II.2.2.c » est p.170 | table des matieres imprimee : accord (p.170)
II.2.3;e85916ada95e869443674c77f1f541eb;II.2.3 Au-delà des critiques instrumentales et chartalistes : des CM ni unitaires, ni exclusives;ThesisSection;173;173;0;correct;6_Chapitre_2.pdf p.173;II.2;;non;table des matieres imprimee : accord (p.173)
II.3;d622d318825741cda43212d7831a88c7;II.3 Au‑delà de la revendication d'une absence de gouvernance !;Concept|ThesisSection;;185;;absent;6_Chapitre_2.pdf p.185;Chapitre II - Dépasser la controverse du statut monétaire des CM par un institutionnalisme intéressé aux usages;;oui;table des matieres imprimee : accord (p.185)
II.3.1;d493c4ac2fcab69f599877d7607ee86f;II.3.1 D'un concept de gouvernance problématique à la problématique de la gouvernance des CM;ThesisSection;186;186;0;correct;6_Chapitre_2.pdf p.186;II.3;;oui;parente legitimement anterieure : page_start 186 precede son premier enfant II.3.1.a (p.187) — ce n'est PAS une anomalie | table des matieres imprimee : accord (p.186)
II.3.1.a;515088f012136277d7375fa65d7a3e3f;II.3.1.a Du concept de gouvernance et de sa polysémie : un concept normatif premier;ThesisSection;186;187;-1;incoherent;6_Chapitre_2.pdf p.187;II.3.1;186;oui;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.3.1 » dans grc20-these-mael-rolland-v96.json, et son page_start 186 est exactement la page imprimee de « II.3.1 » , la valeur a suivi le noeud, pas la section — la page de « II.3.1.a » est p.187 | table des matieres imprimee : accord (p.187)
II.3.1.b;d93cb2ceee6dea674fecc4f44d113643;II.3.1.b Retournement positif du concept : réintégrer le pouvoir et la politique;ThesisSection;190;188;2;incoherent;6_Chapitre_2.pdf p.188;II.3.1;186;oui;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.3.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 190 est exactement la page imprimee de « II.3.2 » , la valeur a suivi le noeud, pas la section — la page de « II.3.1.b » est p.188 | table des matieres imprimee : accord (p.188)
II.3.2;7b3312fed875cffb74320f0a579763c7;II.3.2 Quand les CM réactivent un débat monétaire ancien : conflit symbolique et matériel autour de la « bonne » gouvernance des CM;ThesisSection;202;190;12;incoherent;6_Chapitre_2.pdf p.190;II.3;;oui;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.3.3 » dans grc20-these-mael-rolland-v96.json, et son page_start 202 est exactement la page imprimee de « II.3.3 » , la valeur a suivi le noeud, pas la section — la page de « II.3.2 » est p.190 | table des matieres imprimee : accord (p.190)
II.3.3;15830fdda2ac359d0858aa7b2f8aa2be;II.3.3 Caractériser la gouvernance des CM hors normativité en surplomb : enjeu théorique et pratique d'un éclaircissement catégoriel primordial;ThesisSection;202;202;0;correct;6_Chapitre_2.pdf p.202;II.3;;non;table des matieres imprimee : accord (p.202)
II.4;53461143c45d4413af3d6be003a34f27;II.4 Conclusion du Chapitre II;ThesisSection;;216;;absent;6_Chapitre_2.pdf p.216;Chapitre II - Dépasser la controverse du statut monétaire des CM par un institutionnalisme intéressé aux usages;;non;table des matieres imprimee : accord (p.216)
III.1;5a5684979bf84b37af3771f915f677e2;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;ThesisSection;;224;;absent;7_Chapitre_3.pdf p.224;Chapitre III - Au‑delà des codes : la gouvernance discrète des CM, dévoilée par leurs crises;;non;table des matieres imprimee : accord (p.224)
III.1.1;a7a69bb2e68199be4432ae3d2476ead8;III.1.1 Présentation périodisée de la crise Bitcoin CVE 2018;ThesisSection;225;225;0;correct;7_Chapitre_3.pdf p.225;III.1;;non;parente legitimement anterieure : page_start 225 precede son premier enfant III.1.1.a (p.227) — ce n'est PAS une anomalie | table des matieres imprimee : accord (p.225)
III.1.1.a;ac859fd14006e379e55373d31090b6c6;III.1.1.a Une mise en crise longue et silencieuse;ThesisSection;225;227;-2;incoherent;7_Chapitre_3.pdf p.227;III.1.1;225;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « III.1.1 » dans grc20-these-mael-rolland-v96.json, et son page_start 225 est exactement la page imprimee de « III.1.1 » , la valeur a suivi le noeud, pas la section — la page de « III.1.1.a » est p.227 | table des matieres imprimee : accord (p.227)
III.1.1.b;0420e53c4c8fd12fef6dcee451a50f61;III.1.1.b Une remise en ordre rapide;ThesisSection;241;235;6;incoherent;7_Chapitre_3.pdf p.235;III.1.1;225;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « III.1.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 241 est exactement la page imprimee de « III.1.2 » , la valeur a suivi le noeud, pas la section — la page de « III.1.1.b » est p.235 | table des matieres imprimee : accord (p.235)
III.1.2;f54e436de2b4736f249f52544967daa2;III.1.2 Restituer cette crise dans l'histoire de celles traversées par Bitcoin;ThesisSection;241;241;0;correct;7_Chapitre_3.pdf p.241;III.1;;non;parente legitimement anterieure : page_start 241 precede son premier enfant III.1.2.a (p.242) — ce n'est PAS une anomalie | table des matieres imprimee : accord (p.241)
III.1.2.a;9fbdbbc3f81ee08fb89b5c5dfbcd2929;III.1.2.a De la diversité des crises aux crises protocolaires des CM;ThesisSection;255;242;13;incoherent;7_Chapitre_3.pdf p.242;III.1.2;241;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « III.2.1 » dans grc20-these-mael-rolland-v96.json, et son page_start 255 est exactement la page imprimee de « III.2.1 » , la valeur a suivi le noeud, pas la section — la page de « III.1.2.a » est p.242 | table des matieres imprimee : accord (p.242)
III.1.2.b;5a82e90b2cc17baf91baa9102bd48034;III.1.2.b Enjeux des crises Bitcoin : labélisations indigènes et exemples historiques;ThesisSection;265;243;22;incoherent;7_Chapitre_3.pdf p.243;III.1.2;241;oui;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « III.2.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 265 est exactement la page imprimee de « III.2.2 » , la valeur a suivi le noeud, pas la section — la page de « III.1.2.b » est p.243 | table des matieres imprimee : accord (p.243)
III.2;89663a261c1545c1941ab7f871314a53;III.2 Des marques d'une politique de crises : une gouvernance de huis clos routinière;ThesisSection;;254;;absent;7_Chapitre_3.pdf p.254;Chapitre III - Au‑delà des codes : la gouvernance discrète des CM, dévoilée par leurs crises;;oui;table des matieres imprimee : accord (p.254)
III.2.1;da7e8dda9cacdb8cddfbab73bb6ecd0b;III.2.1 Des acteurs au cœur de la gouvernance sur le protocole;ThesisSection;277;255;22;incoherent;7_Chapitre_3.pdf p.255;III.2;;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « III.2.3 » dans grc20-these-mael-rolland-v96.json, et son page_start 277 est exactement la page imprimee de « III.2.3 » , la valeur a suivi le noeud, pas la section — la page de « III.2.1 » est p.255 | table des matieres imprimee : accord (p.255)
III.2.2;d594820ae6b8041fa7c4964d47fb9475;III.2.2 Où modifier Bitcoin ? Un « repo Bitcoin Core » encadré et hiérarchisé;ThesisSection;265;265;0;correct;7_Chapitre_3.pdf p.265;III.2;;oui;table des matieres imprimee : accord (p.265)
III.2.3;c0467f14e398a272fec4936abcea39e3;III.2.3 Bitcoin CVE 2018 : une gouvernance de huis clos suspendue à l'absence de dissensus public;ThesisSection;277;277;0;correct;7_Chapitre_3.pdf p.277;III.2;;non;numerotation IMPRIMEE differente de section_key : la these imprime « II.2.3 » la ou section_key vaut « III.2.3 » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.277)
III.3;41e14735f0af4e9a832041a8168cc4e9;III.3 Une gouvernance publique d'exception : le Hard Fork d'Ethereum consécutif à l'attaque de « The DAO »;ChapterSection;;287;;absent;7_Chapitre_3.pdf p.287;Chapitre III - Au‑delà des codes : la gouvernance discrète des CM, dévoilée par leurs crises;;non;table des matieres imprimee : accord (p.287)
III.3.1;cf7dfaf42b4f3caa74d2078a8eacc9e6;III.3.1 Une mise en crise brutale, publique et tapageuse;ThesisSection;288;288;0;correct;7_Chapitre_3.pdf p.288;III.3;;non;table des matieres imprimee : accord (p.288)
III.3.2;123b661853db78e3660f05f73d9ab081;III.3.2 Une remise en ordre complexe, contrainte et controversée : moyens et enjeux d'un consensus multi-acteur;ThesisSection;303;303;0;correct;7_Chapitre_3.pdf p.303;III.3;;non;table des matieres imprimee : accord (p.303)
III.3.3;7b9eff43f3726247610d73a7fcbd0e06;III.3.3 Gouvernance ouverte et publique pour des forks controversés;ThesisSection;314;314;0;correct;7_Chapitre_3.pdf p.314;III.3;;oui;table des matieres imprimee : accord (p.314)
III.3.4;83985da6c275abd60faf4dbe9f08f332;III.3.4 « Fork You ?! » : une scission surprise fondatrice et ses enseignements;ThesisSection;322;322;0;correct;7_Chapitre_3.pdf p.322;III.3;;non;table des matieres imprimee : accord (p.322)
III.4;486a5848fb304465a19d3a28bafcb603;III.4 Conclusion du Chapitre III;ThesisSection;;329;;absent;7_Chapitre_3.pdf p.329;Chapitre III - Au‑delà des codes : la gouvernance discrète des CM, dévoilée par leurs crises;;non;table des matieres imprimee : accord (p.329)
conclu_aceph;45b91ae1d82a40ab8029f3b8835b3af4;De l’acéphalisme apolitique des CM à l’épreuve d’une sociologie des crises;ThesisSection;;336;;absent;8_Conclusion_Generale.pdf p.336;Conclusion générale;;oui;table des matieres imprimee : accord (p.336)
conclu_boucs;d9f534f9f849a3c54eac31746ed11222;Conclusion — Les CM : boucs émissaires d'un système monétaire en crise ?;ThesisSection;338;;;ambigu;titre introuvable;Conclusion générale;;non;reellement ambigu : aucun titre imprime ne correspond exactement au libelle du graphe (reformulation probable) — arbitrage auteur | PISTE (quasi-titre 0.92) 8_Conclusion_Generale.pdf p.338 : « LES CM : BOUCS ÉMISSAIRES COMMODES D’UN SYSTÈME MONÉTAIRE EN CRISE ? » — NON RETENU comme preuve | PISTE (prefixe commun 20 car.) 8_Conclusion_Generale.pdf p.338 : « LES CM : BOUCS ÉMISSAIRES COMMODES D’UN SYSTÈME MONÉTAIRE EN CRISE ? » — NON RETENU comme preuve | pistes CONVERGENTES vers le page_start declare 338 — rien a corriger si l'auteur valide le rapprochement de titre
conclu_infra;711fe2aa7c734731bccb42ccd5843924;A. Décrypter la crypto par l’approche infrastructurelle;ThesisSection;;334;;absent;8_Conclusion_Generale.pdf p.334;Conclusion générale;;oui;table des matieres imprimee : accord (p.334)
conclu_resume;9c72c7227c3e0cee55b8b4820e7492d8;Conclusion — Résumé de la thèse;ThesisSection;332;332;0;correct;8_Conclusion_Generale.pdf p.332;Conclusion générale;;oui;table des matieres imprimee : accord (p.332)
conclu_theo_mon;b5386fe92a5b4cac94888ffc298469bf;B. Les CM, comme “en plus” dans la théorie monétaire et l’analyse des systèmes monétaires;ThesisSection;;;;absent;titre introuvable;Conclusion générale;;non;
conclu_traduction;11fe6aacd1c440bdb795f073d9572b34;C. Le travail de traduction : prolongements pour les acteurs;ThesisSection;;;;absent;titre introuvable;Conclusion générale;;non;
intro_A;0fcc7028560c47cc9b82309f469b700c;A. La gouvernance des cryptomonnaies : construction de notre objet de recherche;ThesisSection;;;;absent;titre introuvable;Introduction générale;;non;PISTE (quasi-titre 0.90) 4_Introduction_generale.pdf p.17 : « A. LA GOUVERNANCE DES CM : CONSTRUCTION DE NOTRE OBJET DE RECHERCHE » — NON RETENU comme preuve | PISTE (prefixe commun 17 car.) 4_Introduction_generale.pdf p.17 : « A. LA GOUVERNANCE DES CM : CONSTRUCTION DE NOTRE OBJET DE RECHERCHE » — NON RETENU comme preuve | PISTE (prefixe commun 17 car.) 4_Introduction_generale.pdf p.24 : « B. LA GOUVERNANCE DES CM DÉVOILÉE PAR LEURS CRISES : UN INSTITUTIONNALISME » — NON RETENU comme preuve
intro_A_1;707ffa8647a7acc3f95f8af261c4c77e;A.1. Un intérêt pour la monnaie et les « Objets Monétaires Non Identifiés »;ThesisSection;;18;;absent;4_Introduction_generale.pdf p.18;intro_A;;oui;table des matieres imprimee : accord (p.18)
intro_A_2;4c8427cf88d26487ceeb26dc51dddafc;A.2. La controverse sur le caractère monétaire des cryptomonnaies;ThesisSection;;19;;absent;4_Introduction_generale.pdf p.19;intro_A;;oui;table des matieres imprimee : accord (p.19)
intro_A_3;29b2b4aff0e4ef2ae111f10d72a69dab;A.3. Révéler l'« indicible » gouvernance des CM contre les prétentions libérales technicistes;ThesisSection;;21;;absent;4_Introduction_generale.pdf p.21;intro_A;;oui;table des matieres imprimee : accord (p.21)
intro_B;21ff5747290e4951a3b0b601ddbbe9d6;B. La gouvernance des CM dévoilée par leurs crises : un institutionnalisme articulé à une sociologie des sciences et techniques;ThesisSection;;24;;absent;4_Introduction_generale.pdf p.24;Introduction générale;;non;numerotation IMPRIMEE differente de section_key : la these imprime « B » la ou section_key vaut « intro_B » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.24)
intro_B_1;4a8d6940c30a34aada2553ed8febd6bb;B.1. L'institutionnalisme monétaire pour caractériser les CM comme monnaies;ThesisSection;;24;;absent;4_Introduction_generale.pdf p.24;intro_B;;oui;table des matieres imprimee : accord (p.24)
intro_B_1a;79a77b4aa63fd0cde00e4769b174455d;B.1.a. Notre insatisfaction vis-à-vis de la théorie monétaire dominante;ThesisSection;;25;;absent;4_Introduction_generale.pdf p.25;intro_B_1;;oui;table des matieres imprimee : accord (p.25)
intro_B_1b;1ef9935001830b38166ebb62a144f513;B.1.b. Analyser le phénomène monétaire sans l'amputer : un institutionnalisme premier;ThesisSection;;27;;absent;4_Introduction_generale.pdf p.27;intro_B_1;;oui;table des matieres imprimee : accord (p.27)
intro_B_2;600a5e7b08126f881793ff6696c244a0;B.2. Gouvernance des CM : perspectives sociologiques;ThesisSection;;28;;absent;4_Introduction_generale.pdf p.28;intro_B;;oui;table des matieres imprimee : accord (p.28)
intro_B_2a;6359b66f7d234e7d159cf71f4667157d;B.2.a. Anthropologie, ethnographie et sociologie de la monnaie : l'empirie des usages;ThesisSection;;29;;absent;4_Introduction_generale.pdf p.29;intro_B_2;;oui;table des matieres imprimee : accord (p.29)
intro_B_2b;d4807871cddce677c374549b5f3dc98e;B.2.b. Au-delà des « boîtes noires » : les CM, des infrastructures « sans coutures »;ThesisSection;;30;;absent;4_Introduction_generale.pdf p.30;intro_B_2;;oui;table des matieres imprimee : accord (p.30)
intro_B_3;11892ab65226a8fde71e11d23dff672c;B.3. La gouvernance de Bitcoin et d'Ethereum dévoilée par leurs crises;ThesisSection;;32;;absent;4_Introduction_generale.pdf p.32;intro_B;;oui;table des matieres imprimee : accord (p.32)
intro_B_3a;985d5ee38de80ff547c153939f00c294;B.3.a. Les fonctions heuristiques et herméneutiques des « crises »;ThesisSection;;32;;absent;4_Introduction_generale.pdf p.32;intro_B_3;;oui;table des matieres imprimee : accord (p.32)
intro_B_3b;92eccc1b5de0f983abd5f49cf462752e;B.3.b. Du périmètre de nos terrains : deux crises différenciées touchant Bitcoin et Ethereum;ThesisSection;;33;;absent;4_Introduction_generale.pdf p.33;intro_B_3;;oui;table des matieres imprimee : accord (p.33)
intro_C;018c87f7337246b99ab36add53a537e3;C. Une démarche ethnographique, pour un terrain d'enquête multi-niveau;ThesisSection;;34;;absent;4_Introduction_generale.pdf p.34;Introduction générale;;non;numerotation IMPRIMEE differente de section_key : la these imprime « C » la ou section_key vaut « intro_C » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.34)
intro_C_1;739e889ff25c2e6c60b4cb8e1c4fe169;C.1. Enquêter sur la gouvernance des CM : contraintes et enjeux;ThesisSection;;34;;absent;4_Introduction_generale.pdf p.34;intro_C;;oui;table des matieres imprimee : accord (p.34)
intro_C_1a;9a51476586060f9220b1f4977a5ddbde;C.1.a. Enjeux méthodologiques;ThesisSection;;34;;absent;4_Introduction_generale.pdf p.34;intro_C_1;;oui;table des matieres imprimee : accord (p.34)
intro_C_1b;0cf63080533e87d5bc747f09d72505a0;C.1.b. La relation enquêteur-enquêtés;ThesisSection;;36;;absent;4_Introduction_generale.pdf p.36;intro_C_1;;oui;table des matieres imprimee : accord (p.36)
intro_C_2;4615956ddad16a1de0c360886fa0932f;C.2. Stratégie d'accès et matériaux de terrain récoltés;ThesisSection;;39;;absent;4_Introduction_generale.pdf p.39;intro_C;;oui;table des matieres imprimee : accord (p.39)
intro_C_2a;533f166041015681506e5003366ba9d5;C.2.a. La face « en ligne » des CM : de la recherche documentaire à l'immersion participante;ThesisSection;;;;absent;titre introuvable;intro_C_2;;oui;PISTE (quasi-titre 0.84) 4_Introduction_generale.pdf p.43 : « La face « en ligne » des CM : d’une entrée par voie de recherche documentaire au saut de l’« immersion partici » — NON RETENU comme preuve | PISTE (prefixe commun 19 car.) 4_Introduction_generale.pdf p.43 : « La face « en ligne » des CM : d’une entrée par voie de recherche documentaire au saut de » — NON RETENU comme preuve
intro_C_2b;ce5164aaecea4aaec0f9d754ad8d84c4;C.2.b. « Creuser au fond du terrier » : les recherches documentaires;ThesisSection;;;;absent;titre introuvable;intro_C_2;;oui;PISTE (prefixe commun 22 car.) 4_Introduction_generale.pdf p.43 : « « Creuser au fond du terrier »53 : les recherches documentaires, une source essentielle de » — NON RETENU comme preuve
intro_C_2c;63b87660eedea4c59423d7f2537e5d78;C.2.c. S'approcher des acteurs non humains : des immersions participantes fructueuses;ThesisSection;;;;absent;titre introuvable;intro_C_2;;oui;PISTE (quasi-titre 0.92) 4_Introduction_generale.pdf p.44 : « S’approcher des acteurs non humains : des immersions participantes nombreuses et « fructueuses » » — NON RETENU comme preuve | PISTE (prefixe commun 56 car.) 4_Introduction_generale.pdf p.44 : « S’approcher des acteurs non humains : des immersions participantes nombreuses et « fructueuses » » — NON RETENU comme preuve
