patronyme_annee;entree_pdf;vraiment_absente;noeud_existant;quasi_doublon;categorie;type_propose;niveau_preuve;risque_ajout_inutile;justification
GÜN SIRER 2016;GÜN SIRER Emin, 2016, « Thoughts on The DAO Hack », http://hackingdistributed.com/2016/06/17/thoughts-on-the-dao-hack/, 17 juin 2016, con…;oui;;9774e3110cbd474fb708fc4aa092f7d5 — Sirer Mark Zamfir 2016 DAO Flaws;indigene;Reference+IndigenousLiterature;entree-complete;faible;« Thoughts on The DAO Hack » est cité chap. III (Sirer 2016), distinct du moratoire co-signé Mark/Zamfir/Sirer qui a ses nœuds
INGHAM 2007;INGHAM Geoffrey, 2007, « The Specificity of Money », European Journal of Sociology, 2007, vol. 48, no 02, p. 265‑272.;oui;;;academique;Reference+AcademicWork;entree-complete;faible;The Specificity of Money est cité chap. II (Ingham 2007), seul Ingham 2004 a un nœud (3d66b8ea06274e5a)
INSIDER COIN 2021;INSIDER Coin, 2021, « The story of the DAO, and how it shaped Ethereum », https://www.coininsider.com/what-happened-to-the-dao/, 9 juille…;oui;;;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Cité chap. III (Insider 2021) sur la campagne de crowdfunding de The DAO, aucun nœud
KONING 2012;KONING J.P, 2012, « Moneyness: Bitcoin steps on the toes of a few popular monetary theories », https://jpkoning.blogspot.com/2012/10/bitc…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Billet Moneyness cité 2 fois chap. II (J.P Koning 2012), la série n'a que la fiche d'auteur (0bb65ed8a7894205) et les millésimes 2015/2019a/2020 en nœuds
KONING 2013;KONING J.P, 2013, « Moneyness: Why the Fed is more likely to adopt bitcoin technology than kill it off », https://jpkoning.blogspot.com/2…;oui;;;koning;Reference+GreyLiterature;entree-complete;eleve;Aucun appel (Koning 2013) repéré dans le corps, un nœud serait un orphelin
KONING 2017;KONING Jp, 2017, « Moneyness: The evolution of the Federal Reserve’s promises as recorded on their banknotes », https://jpkoning.blogspot…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité 2 fois chap. II (Koning 2017) sur les promesses portées par les billets de banque
KONING 2018A;KONING J.P, 2018a, « Moneyness: Can lottery tickets become money? », https://jpkoning.blogspot.com/2018/12/can-lottery-tickets-become-mon…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II (Koning 2018a) avec Andolfatto/Selgin sur les quasi-monnaies
KONING 2018B;KONING J.P, 2018b, « Moneyness: Bitcoin and the bubble theory of money », https://jpkoning.blogspot.com/2018/10/bitcoin-and-bubble-theory…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II dans le bloc Koning (2018b, 2018d, 2018c, 2018a, 2019c, 2019a, 2020b) sur la théorie de la bulle monétaire
KONING 2018C;KONING J.P, 2018c, « Play Bitcoin : Remember, it’s just a game », https://breakermag.com/play - bitcoin-remember-its-just-a-game/, 7 sept…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II dans le bloc Koning (2018b-2020b), billet Play Bitcoin publié chez Breaker (presse crypto)
KONING 2018D;KONING J.P, 2018d, « Moneyness: Tainted money », https://jpkoning.blogspot.com/2018/07/tainted- money.html, 31 juillet 2018, consulté le …;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité au moins 4 fois chap. II (Koning 2018d) sur l'argent marqué (tainted money)
KONING 2018E;KONING J.P, 2018e, « Moneyness: A case for bitcoin », https://jpkoning.blogspot.com/2018/05/the- case-for-bitcoin.html, 10 mai 2018, cons…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II (Koning 2018e) sur les fonctions monétaires classiques
KONING 2018F;KONING J.P, 2018f, « Moneyness: Fiatsplainin’ », https://jpkoning.blogspot.com/2018/03/fiatsplainin.html, 21 mars 2018, consulté le 13 ja…;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II (J.P Koning 2018f) aux côtés de Velde et Weber
KONING 2019B;KONING J.P, 2019b, « The life and death of an internet monetary meme », https://jpkoning.blogspot.com/, 18 septembre 2019, consulté le 25…;oui;;;koning;Reference+GreyLiterature;entree-partielle;faible;Cité chap. II (J.P Koning 2019b) sur les gold bugs, mais l'URL du PDF pointe la racine du blog (lien non pérenne)
KONING 2019C;KONING J.P, 2019c, « Moneyness: Classifying cryptocurrencies », https://jpkoning.blogspot.com/2019/07/classifying-cryptocurrencies.html, …;oui;;;koning;Reference+GreyLiterature;entree-complete;faible;Cité chap. II (Koning 2019c) sur la classification des cryptomonnaies
KRUGMAN 2013;KRUGMAN Paul, 2013, « Bitcoin is Evil », https://krugman.blogs.nytimes.com/2013/12/28/bitcoin-is- evil/?_r=1&, 28 décembre 2013, consulté…;oui;;200e76ca3d1844b0a3d45f9fa10310d2 — Krugman 2018 — Bitcoin is Evil / Bubble Fraud;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Cité chap. II (Krugman 2013), le nœud Krugman 2018 existant porte à tort le titre du billet de 2013 (Bitcoin is Evil) — arbitrage année/titre avant création
LATOUR 2000;LATOUR Bruno, 2000, « La fin des moyens », Réseaux, 2000, vol. 18, no 100, p. 39‑58.;oui;;;academique;Reference+AcademicWork;entree-complete;faible;La fin des moyens est cité en intro et chap. I (Latour 2000, p. 46), seul Latour 2006 a un nœud
LEIGH STAR & RUHLEDER 2010;LEIGH STAR Susan et RUHLEDER Karen, 2010, « Vers une écologie de l’infrastructure : Conception et accès aux grands espaces d’information …;non;a5f0ee04162d4434ba7329ac575da1e4 — Star & Ruhleder 2010 — Vers une écologie de l'infrastructure;940fa052d3004315bb56e5785d746fe7 — Star & Ruhleder 2010;academique;Reference+AcademicWork;entree-complete;faible;Doublon interne du PDF (même article que l'entrée STAR & RUHLEDER 2010 p. 376), l'article a déjà deux nœuds et le corps cite (Leigh Star et Ruhleder 2010)
MANGOLTE 2013B;MANGOLTE Pierre-André, 2013b, « Une innovation institutionnelle, la constitution des communs du logiciel libre », Revue de la régulation,…;non;e65f7257f8ce411299ced981df6f0380 — Mangolte 2013 — Le logiciel libre et les communs de la connaissance;;academique;Reference+AcademicWork;entree-complete;faible;Les entrées 2013a et 2013b du PDF sont strictement identiques (doublon interne), l'article a déjà son nœud apparié à 2013a et le corps cite Mangolte
MINISTERE ECONOMIE 2011;MINISTÈRE DE L’ÉCONOMIE ET DES FINANCES, 2011, Rapport d’activité 2011, Tracfin, s.l.;oui;;6b3c8ba8b848425893f4b36acccfb90c — TraFin 2014 — Rapport sur les monnaies virtuelles;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le rapport Tracfin 2011 est cité en note chap. II (ministère de l'Économie et des Finances (2011)), le nœud TraFin 2014 (millésime sans entrée au PDF) pourrait provenir d'une confusion
MINISTERE ECONOMIE 2017;MINISTÈRE DE L’ÉCONOMIE ET DES FINANCES , 2017, Traitement du Renseignement et Action contre les Circuits FINanciers clandestins., https:…;oui;;6b3c8ba8b848425893f4b36acccfb90c — TraFin 2014 — Rapport sur les monnaies virtuelles;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le rapport Tracfin 2017 est cité en note chap. II (ministère de l'Économie et des finances (2017)), même remarque sur le nœud TraFin 2014
MINISTERE ECONOMIE 2019B;MINISTÈRE DE L ’ÉCONOMIE ET DES FINANCES, 2019b, « BNC - Champ d’application - Activités et revenus imposables - Généralités - Exploitati…;oui;;284221f6dc2c4a9ab4f3a1a2bf4c0d43 — Ministère de l'Économie et des Finances 2019 — Réglementation des actifs numériques en France;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Cité en note chap. II (Ministère de l'Économie et des Finances (2019b)), le nœud 2019 existant est apparié à l'entrée 2019a
NAKAMOTO 2008B;NAKAMOTO Satoshi, 2008b, « Bitcoin P2P e -cash paper », https://www.metzdowd.com/pipermail/cryptography/2008-November/014815.html, consul…;oui;;e324660d7944e4c3b398b652c9eb490d — Nakamoto 2008c — Bitcoin: A Peer-to-Peer Electronic Cash System;nakamoto;Reference+IndigenousLiterature;entree-complete;moyen;Annonce metzdowd du WP, source primaire indigène, le corps cite (Nakamoto 2008b) mais avec la pagination du whitepaper (lettrage corps/bibliographie discordant) — arbitrage avant création
NAKAMOTO 2009B;NAKAMOTO Satoshi, 2009 b, « Bitcoin open source implementation of P2P currency », http://p2pfoundation.ning.com/forum/topics/bitcoin-open…;non;ce7047344df440e2d9758b023c94af29 — Nakamoto 2009a;;nakamoto;Reference+IndigenousLiterature;entree-complete;faible;Même annonce P2P Foundation que l'entrée 2009a (URL miroir Nakamoto Institute) qui a déjà son nœud — doublon interne de fait dans le PDF
NAKAMOTO 2009C;NAKAMOTO Satoshi, 2009 c, « Bitcoin v0.1 released », https://www.metzdowd.com/pipermail/cryptography/2009-January/014994.html, consulté l…;oui;;;nakamoto;Reference+IndigenousLiterature;entree-complete;moyen;L'annonce Bitcoin v0.1 released est racontée (chap. I et III) mais sans appel (Nakamoto 2009c) repéré
NAKAMOTO 2010C;NAKAMOTO Satoshi, 2010c, « [PATCH] increase block size limit », https://bitcointalk.org/index.php?topic=1347.msg15139#msg15139, consulté …;oui;;;nakamoto;Reference+IndigenousLiterature;entree-complete;moyen;Fil increase block size limit : l'épisode est noué (InfrastructureEvent 4f7fd6dcbdc349a0) et cité génériquement (Nakamoto 2010), sans clé 2010c
NAKAMOTO 2010D;NAKAMOTO Satoshi, 2010d, « They want to delete the Wikipedia article », https://bitcointalk.org/index.php?topic=342.msg4508#msg4508, cons…;oui;;;nakamoto;Reference+IndigenousLiterature;entree-complete;eleve;Fil sur la suppression de l'article Wikipedia : aucun appel ni trace de l'épisode repérés dans le corps
NAKAMOTO 2010E;NAKAMOTO Satoshi, 2010e, « Transactions and Scripts: DUP HASH160 ... EQUALVERIFY CHECKSIG », https://bitcointalk.org/index.php?topic=195.…;oui;;;nakamoto;Reference+IndigenousLiterature;entree-complete;eleve;Fil Transactions and Scripts (DUP HASH160) : aucun appel repéré dans le corps
NAKAMOTO 2010F;NAKAMOTO Satoshi, 2010f, « Re: Wikileaks contact info? | Satoshi Nakamoto Institute », https://bitcointalk.org/index.php?topic=1735.msg26…;non;34c52771cbcf9e7e7a941c4307055ee4 — Nakamoto 2010g;313c66ac111542d3a47de4607949a807 — Nakamoto 2010b;nakamoto;Reference+IndigenousLiterature;entree-complete;faible;Corrigé par la revue hostile (7e faux absent) : le nœud Nakamoto 2010g porte déjà ce post (topic=1735, quote « nid de frelons »), mislabellisé 2010g alors que le lettrage du PDF s'arrête à 2010f, et le corps cite ce contenu sous (Nakamoto 2010b) — rattachement des trois porteurs à arbitrer
ORLEAN 2002;ORLÉAN A., 2002, « La monnaie contre la marchandise », L’Homme, 2002, no 2, p. 27‑48.;oui;;;academique;Reference+AcademicWork;entree-complete;faible;Corrigé par la revue hostile : cité au corps — ch. II « (Orléan 2002, p. 27) » (pagination de l'article, pas du livre d'Aglietta & Orléan) plus trois appels « A. Orléan 2002 » (intro note ^27, ch. II)
PEERCOIN S.D.;PEERCOIN, « Peercoin Docs - Documentation of Peercoin Cryptocurrency », https://www.peercoin.net/docs/proof-of-stake, consulté le 24 mai …;oui;;;indigene;Reference+IndigenousLiterature;entree-partielle;moyen;Entrée sans millésime (page de documentation), Peercoin est discuté chap. I mais via King & Nadal 2012, le protocole a son nœud (5fd4d8dcdc404c19)
POLROT 2016B;POLROT Simon, 2016b, « Slock.it : la promesse des objets connectés sur la blockchain », https://www.ethereum-france.com/blog/slock-it-la-…;oui;;dfb62bb39e9a440d91e555e2ded60f70 — Polrot 2016a — To Fork or not to Fork: The DAO hard fork debate;indigene;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. III (Polrot 2016b) sur les promesses de Slock.it, seuls 2016a et 2017 ont des nœuds
POLROT 2016C;POLROT Simon, 2016c, « The DAO mortem », https://www.ethereum-france.com/blog/the-dao-post- mortem/, consulté le 7 mai 2021.;oui;;dfb62bb39e9a440d91e555e2ded60f70 — Polrot 2016a — To Fork or not to Fork: The DAO hard fork debate;indigene;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. III (Polrot 2016c), post-mortem de The DAO sur ethereum-france
POPPER 2016B;POPPER Nathaniel, 2016b, « A Venture Fund With Plenty of Virtual Capital, but No Capitalist », The New York Times, 22 mai 2016.;non;37bcfcd5fb29436b846b4718268480c5 — Popper 2016a — A venture fund with plenty of virtual capital but no human managers (NYT);;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le nœud étiqueté 2016a porte en réalité le titre de cet article (fonds sans gestionnaires humains, NYT 22 mai) cité (Popper 2016b) chap. III, c'est l'entrée 2016a (Paper Points Up Flaws) qui reste sans nœud propre — arbitrage d'étiquette
ROUSSEL 2017B;ROUSSEL Alexis, 2017 b, « The Whitehat Withdrawal Contract has been extended for 2 months », http://blog.bity.com/2017/01/30/the-whitehat…;oui;;5a067e5fcc414d2688ce801cea71f294 — Roussel 2017a — Whitehat group and DAO recovery operation;indigene;Reference+IndigenousLiterature;entree-complete;moyen;L'extension du 30 janvier 2017 est racontée chap. III mais l'unique appel (Roussel 2017) semble viser 2017a, déjà noué
SCHNEIDER 2015;SCHNEIDER Nathan, 2015, « En cavale avec le voleur de banque Enric Duran », https://www.vice.com/fr/article/ppnxg8/devenez-la-banque-que-…;oui;;;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Reportage Vice sur Enric Duran cité chap. I (Schneider 2015, Russo 2020) à propos de Faircoin
SONG 2018A;SONG Jimmy, 2018a, « Lord Keynes Would Be Proud », Medium, https://medium.com/@jimmysong/lord-keynes-would-be-proud-a225fec9cf6a, 15 octo…;oui;;3e9d4208eaa247308802824363e39cd3 — Song 2018 CVE post-mortem;indigene;Reference+IndigenousLiterature;entree-complete;eleve;Billet anti-Keynes jamais cité : les nombreux (Song 2018) du corps renvoient au post-mortem CVE (entrée 2018c, nœud existant)
SONG 2018B;SONG Jimmy, 2018b, « Crypto-Keynesian Lunac y », Medium, https://medium.com/@jimmysong/crypto-keynesian-lunacy-16bb9193a58, 18 juin 2018,…;oui;;3e9d4208eaa247308802824363e39cd3 — Song 2018 CVE post-mortem;indigene;Reference+IndigenousLiterature;entree-complete;eleve;Crypto-Keynesian Lunacy jamais cité dans le corps, même situation que 2018a
TERUZZI 2016B;TERUZZI David, 2016b, « Les consensus: Proof of work vs Proof of stake », blogchain café , https://blogchaincafe.com/les-consensus-proof-…;oui;;10d56dd3d3854876b618268fee97b52d — Teruzzi 2016a — The DAO contractors and governance;indigene;Reference+IndigenousLiterature;entree-complete;faible;L'appel (Teruzzi 2016) du chap. I sur PoW vs PoS correspond à ce billet, le nœud existant couvre 2016a (DAO Contractors)
THE IRS 2014;THE INTERNAL REVENUE SERVICE (IRS), 2014, « Guidance on the Application of FinCEN’s Regulations to Persons Administering, Exchanging, or …;oui;;d431826321574decb98c8a8e525c843b — Department of Treasury FinCEN 2013 — Application of FinCEN's Regulations to Persons Administering, Exchanging, or Using Virtual Currencies;littérature-grise;Reference+GreyLiterature;douteuse;faible;Cité une fois en note chap. II (The Internal Revenue Service (2014)) mais le titre de l'entrée est celui du guidance FinCEN 2013 déjà noué — attribution du PDF contradictoire à éclaircir avant création
THEYMOS 2018;THEYMOS, 2018, « The duplicate input vulnerability shouldn’t be forgotten », https://bitcointalk.org/index.php?topic=5035144.0, 22 septem…;oui;;9c6092d4334640bca80190027bfbeef4 — Theymos 2015;billet-forum;Reference+IndigenousLiterature;entree-complete;faible;Post Bitcointalk cité chap. III (theymos 2018) sur la CVE-2018-17144, le nœud Theymos 2015 est un autre fil (lui-même absent du PDF, cf. audit 2.a)
TUAL 2016A;TUAL Stephan, 2016a, « The DAO Creation is now Live », Slock.it Blog, https://archive.is/wOiUZ, 30 avril 2016, consulté le 3 mai 2024.;oui;;;tual;Reference+IndigenousLiterature;entree-complete;faible;Annonce du lancement de The DAO citée 2 fois chap. III (Tual 2016a), source primaire de la chronologie de crise, la fiche Person Stephane Tual existe (48b1526f065e40fa)
TUAL 2016B;TUAL Stephan, 2016b, « Daohub.org gets a facelift, full scope of The DAO is revealed », Medium, https://medium.com/ursium-blog/daohub-org…;oui;;;tual;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. III (Tual 2016b) sur le périmètre de The DAO révélé par Daohub
TUAL 2016C;TUAL Stephan, 2016c, « A Primer to Decentralized Autonomous Organizations (DAOs) », https://blog.slock.it/a-primer-to-the-decentralized-a…;oui;;;tual;Reference+IndigenousLiterature;entree-complete;eleve;Primer sur les DAO jamais cité dans le corps (aucun appel Tual 2016c), un nœud serait un orphelin
TUAL 2016D;TUAL Stephan, 2016d, « Vitalik Buterin, Gavin Wood, Alex van De Sande, Vlad Zamfir announced amongst exceptional DAO Curators », Medium, …;oui;;;tual;Reference+IndigenousLiterature;entree-complete;faible;Cité 2 fois chap. III (Tual 2016d) sur l'annonce des Curators de The DAO
TUAL 2016E;TUAL Stephan, 2016e, « Announcing DAO.LINK, the bridge between blockchain and brick -and- mortar companies », Slock.it Blog , https://blo…;oui;;;tual;Reference+IndigenousLiterature;entree-complete;faible;Cité 2 fois chap. III (Tual 2016e) sur DAO.LINK
TUAL 2016F;TUAL Stephan, 2016f, « No DAO funds at risk following the Ethereum smart contract ‘recursive call’ bug discovery », Slock.it Blog , https…;oui;;;tual;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. III (Tual 2016f), billet-clé « No DAO funds at risk » de la crise, valeur de source primaire
VAN WIRDUM 2018;VAN WIRDUM Aaron, 2018, « The Genesis Files: How David Chaum’s eCash Spawned a Cypherpunk Dream », Bitcoin Magazine, https://bitcoinmagaz…;oui;;43ccc13a87df4656a4e9783a4725d5b9 — Van Wirdum 2018 — Gitian: reproducible builds for Bitcoin Core;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le corps cite (Van Wirdum 2018) pour deux articles distincts : eCash/Chaum (cette entrée, chap. I) et Gitian (nœud existant, absent du PDF) — création à coordonner avec ce dédoublement de clé
WOOD 2014A;WOOD Gavin, 2014a, « Gav’s Ethereum Ð ΞV Update II », Blog Etheruum , https://blog.ethereum.org/2014/11/01/gavs-ethereum-d%ce%bev-update-…;oui;;;indigene;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. I (Wood 2014b, Wood 2014a), seul le Yellow Paper (2014b) a des nœuds (462ca3c2907a45f0)
ZAMFIR 2016;ZAMFIR Vlad, 2016, « (2) Vlad Zamfir sur X : « @simondlr would the community hard Fork ethereum if there was a critical bug in the DAO? :…;oui;;;billet-forum;Reference+IndigenousLiterature;entree-complete;faible;Tweet cité 3 fois chap. III (Zamfir 2016), distinct du moratoire Mark/Zamfir/Sirer déjà noué (2b6dd92a7ea0472b)
ZELIZER 2005;ZELIZER Viviana, 2005, « Argent, circuits, relations intimes », Enfances, Familles, Générations, 2005, no 2.;oui;;c274eca9c9e748abb5edd4e9306b4b45 — Zelizer 2005 — La signification sociale de l'argent;academique;Reference+AcademicWork;entree-complete;moyen;Article Argent circuits relations intimes : les appels (Zelizer 2005) du corps visent plutôt le livre homonyme de 2005 déjà noué — risque de collision de clé
