famille_id;noms;entity_ids;nb_membres;types;classe;preuve;canonique_propose;annotation_candidate;justification
22;Buterin 2013e — Dagger: A memory-hard proof of work algorithm | Buterin 2013e;4412476da42c48028bcd9f57ef1a3962 | 3ceaf75ad5dc44f8baa0813b954cb5eb;2;Reference | GreyLiterature, Reference;fusion-sure;BUTERIN Vitalik, 2013e, « Dagger: A Memory-Hard to Compute, Memory -Easy to Verify Scrypt Alternative », http://www.hash;4412476da42c48028bcd9f57ef1a3962 (deg=20);duplicateOf=4412476da42c48028bcd9f57ef1a3962 sur 3ceaf75ad5dc44f8baa0813b954cb5eb, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
23;Buterin 2014j — On altcoins limits | Buterin 2014j — A next-generation smart contract and decentralized application platform;280036a113783d4eaaa0e4bb481c808c | 48d2ab7cbf774115b1f1de56e8e418d9;2;Reference | Reference;homonymie-risque;BUTERIN Vitalik, 2014j, « Ethereum: A Next -Generation Cryptocurrency and Decentralized Application Platform », bitcoinm;;reviewStatus=homonym-check;Réserve explicite de l'audit source : deux titres différents (« next-generation platform » vs « On altcoins limits ») sous le même suffixe 2014j - possiblement deux textes distincts.
24;Buterin 2017 | Buterin 2017a — On settlement finality (OP_RETURN);c0f588f7fb3747ea9c964a94661d0027 | 7dc37a6c9b0b4116a2a01becfc45d7d1;2;GreyLiterature, Reference | Reference;homonymie-risque;BUTERIN Vitalik, 2017a, « The very earliest versions of ETH protocol were a counterparty -style metacoin on top of prime || BUTERIN Vitalik, 2017b, « A Prehistory of the Ethereum Protocol » / 2017c, « Hard Forks, Soft Forks, Defaults and Coerci;;reviewStatus=homonym-check;Réserve explicite de l'audit source : le titre « On settlement finality (OP_RETURN) » ne recoupe pas l'entrée 2017a du PDF (tweet metacoin), et « Buterin 2017 » sans suffixe peut viser 2017a, 2017b ou 2017c.
25;Cartelier 1996 La monnaie | Cartelier 1996 — La monnaie | Cartelier 1996 (Intro);a881071200dc48c19fdc5d3af054a7d5 | 2165a0e1e59e479098a71d3b4213a0ae | a1c097925afd4bd074ea2448f2e7e9e8;3;Reference | AcademicWork, Reference | Reference;fusion-sure;CARTELIER Jean, 1996, La monnaie, Dominos. Flammarion, Paris, 125 p.;a881071200dc48c19fdc5d3af054a7d5 (deg=13);duplicateOf=a881071200dc48c19fdc5d3af054a7d5 sur 2165a0e1e59e479098a71d3b4213a0ae, a1c097925afd4bd074ea2448f2e7e9e8, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
26;Castillo 2013 — Dark Wallet and Amir Taaki anarchist Bitcoin | Castillo 2013;7a1b6b2b158f4dde997f66379fc73e89 | 81049b3899914142a40dd283772766c4;2;Reference | GreyLiterature, Reference;fusion-sure;CASTILLO Michael del, 2013, « Dark Wallet: A Radical Way to Bitcoin », https://www.newyorker.com/business/currency/dark-;7a1b6b2b158f4dde997f66379fc73e89 (deg=23);duplicateOf=7a1b6b2b158f4dde997f66379fc73e89 sur 81049b3899914142a40dd283772766c4, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
27;Chainalysis Team 2019 | Chainalysis Team 2019 — Crypto Crime Report;0e225413a3db45f3934676e31efc9798 | 2e155d6cc3874a62b20de72700e34b27;2;GreyLiterature, Reference | Reference;fusion-sure;CHAINALYSIS TEAM, 2019, « Chainalysis Crypto Crime Report (2019) », https://go.chainalysis.com/rs/503-FAP- 074/images/20;0e225413a3db45f3934676e31efc9798 (deg=4);duplicateOf=0e225413a3db45f3934676e31efc9798 sur 2e155d6cc3874a62b20de72700e34b27, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
28;Dashjr 2019 CVE History | Dashjr 2019 — CVE-2018-20587 Advisory;45c4a10053e84274966342ca3ecb5f12 | 713a81a48e5143068ff221c6eec9c138;2;Reference | IndigenousLiterature, Reference;fusion-sure;DASHJR Luke, 2019, « CVE-2018–20587 Advisory and Full Disclosure (Bitcoin Core & Knots, on multiuser systems) », https:/;45c4a10053e84274966342ca3ecb5f12 (deg=6);duplicateOf=45c4a10053e84274966342ca3ecb5f12 sur 713a81a48e5143068ff221c6eec9c138, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
29;De Filippi & Loveluck 2016 — Invisible politics of Bitcoin | De Filippi et Loveluck 2016 (Intro);ceabad5e9c0e4c36b74925272eff2df7 | 6cf3e50b5a65ce3ac4e3e1ba4b1d784e;2;AcademicWork, Reference | Reference;fusion-sure;DE FILIPPI Primavera et LOVELUCK Benjamin, 2016, « The invisible politics of Bitcoin: governance crisis of a decentralis;ceabad5e9c0e4c36b74925272eff2df7 (deg=26);duplicateOf=ceabad5e9c0e4c36b74925272eff2df7 sur 6cf3e50b5a65ce3ac4e3e1ba4b1d784e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
30;De Filippi 2013 — Bitcoin: a regulatory nightmare to a libertarian dream | De Filippi 2013;5febe6121fed4c84aaf300065976a755 | 0b7bd88ab7580b4513c4ff0df722a1eb;2;Reference | Reference;fusion-sure;DE FILIPPI Primavera, 2013, « Bitcoin: a regulatory nightmare to a libertarian dream », Internet Policy Review, 2013, vo;5febe6121fed4c84aaf300065976a755 (deg=21);duplicateOf=5febe6121fed4c84aaf300065976a755 sur 0b7bd88ab7580b4513c4ff0df722a1eb, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
31;DeNardis et Musiani 2014 | DeNardis & Musiani 2014 — Governance by Infrastructure;2272e5b8d44449d29f7429c2f59b5615 | e0b40d91bb424defaa9acf37536f339e;2;AcademicWork, Reference | AcademicWork, Reference;fusion-sure;DENARDIS Laura et MUSIANI Francesca, 2014, « Governance by Infrastructure: Introduction, “The Turn to Infrastructure in ;2272e5b8d44449d29f7429c2f59b5615 (deg=12);duplicateOf=2272e5b8d44449d29f7429c2f59b5615 sur e0b40d91bb424defaa9acf37536f339e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
32;Dodd 2017 Social Life Bitcoin | Dodd 2017 — The Social Life of Bitcoin | Dodd 2017 (Intro);a03d6533107d41568be5a09f65e91cdf | cde365fffc0140b2ae04ed6fd46b22d5 | 47b8d7b7a80506dd7a7f0ae8db1d59c8;3;Reference | AcademicWork, Reference | Reference;fusion-sure;DODD Nigel, 2017, « The Social Life of Bitcoin », Theory, Culture & Society, 2017, p. 1‑27.;a03d6533107d41568be5a09f65e91cdf (deg=31);duplicateOf=a03d6533107d41568be5a09f65e91cdf sur cde365fffc0140b2ae04ed6fd46b22d5, 47b8d7b7a80506dd7a7f0ae8db1d59c8, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
33;DuPont 2018 DAO Experiment | Dupont 2018 — DAO Experiments in algorithmic governance;3199c26556b344fd9261cfd10fbb4e12 | 4137356deade4efa9949582b186af808;2;Reference | AcademicWork, Reference;fusion-sure;DUPONT Quinn, 2018, « 8. Experiments in algorithmic governance: A history and ethnography of “The DAO,” a failed decentr;3199c26556b344fd9261cfd10fbb4e12 (deg=8);duplicateOf=3199c26556b344fd9261cfd10fbb4e12 sur 4137356deade4efa9949582b186af808, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
34;Dupré Ponsot Servet 2015 — Bitcoin contre la révolution des communs | Dupré, Ponsot et Servet 2015 | Dupre Ponsot Servet 2015;1716ed6bcad44771ad22101e932b843f | 67f3f453063feb8a51665d0f6da926b6 | 38639c7e3bc04be98f694db7680027e8;3;AcademicWork, Reference | Reference | Reference;fusion-sure;DUPRÉ Denis, PONSOT Jean-François et SERVET Jean-Michel, 2015, « Le bitcoin contre la révolution des communs », 5ème con;1716ed6bcad44771ad22101e932b843f (deg=23);duplicateOf=1716ed6bcad44771ad22101e932b843f sur 67f3f453063feb8a51665d0f6da926b6, 38639c7e3bc04be98f694db7680027e8, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
35;Edwards et al. 2009 | Edwards et al. 2009 — Agenda for Infrastructure Studies;c14637f57d5a423894cbd35856129302 | 2c3733bad1fc480ebfc9aff5d72fb6dc;2;Reference | AcademicWork, Reference;fusion-sure;EDWARDS Paul, BOWKER Geoffrey, JACKSON Steven et WILLIAMS Robin, 2009, « Introduction: An Agenda for Infrastructure Stud;c14637f57d5a423894cbd35856129302 (deg=23);duplicateOf=c14637f57d5a423894cbd35856129302 sur 2c3733bad1fc480ebfc9aff5d72fb6dc, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
36;European Central Bank 2012 | BCE 2012b — Virtual Currency Schemes (original report) | BCE 2012 — Virtual Currency Schemes;117c1b4f6212439a832bb191383b4a7b | 443e78b5d45a42ea93a283e6571912b0 | 896f386e155e4b77b108d4ecdeb375af;3;GreyLiterature, Reference | Reference | Reference;doublon-probable;EUROPEAN CENTRAL BANK, 2012, Virtual Currency Scheme, s.l. || EUROPEAN CENTRAL BANK, 2015b, Virtual Currency Schemes - A Further analysis, Février 2015;117c1b4f6212439a832bb191383b4a7b (deg=9);duplicateOf=117c1b4f6212439a832bb191383b4a7b sur 443e78b5d45a42ea93a283e6571912b0, 896f386e155e4b77b108d4ecdeb375af, reviewStatus=pending-author;Les trois nœuds désignent le rapport original 2012, mais l'audit documente une numérotation a/b du graphe contradictoire avec le PDF pour la BCE (« BCE 2012b » n'existe pas au PDF) - convergence forte, lettre à vérifier.
37;Friedman 2008 | Friedman Benjamin M. 2008 — Les objectifs de la politique monétaire;cfc5ccfec20718e675f89a24487294bd | d49e7200ebee4ede8950f9e36e6bdff7;2;Reference | Reference;fusion-sure;FRIEDMAN Benjamin M., 2008, « Quels doivent être les objectifs de la politique monétaire. » dans Jean-Philippe Touffut (;cfc5ccfec20718e675f89a24487294bd (deg=8);duplicateOf=cfc5ccfec20718e675f89a24487294bd sur d49e7200ebee4ede8950f9e36e6bdff7, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
38;Friedman Milton 1999 — Interview sur internet et monnaies privées | Friedman Milton 1999 — Video interview on internet and private currencies (land value tax);a768338169584a618a8ef5b797b7b063 | 8a86eb7f81364573848e43b03d391a89;2;Reference | Reference;fusion-sure;FRIEDMAN Milton., 1999, “Land value tax and internet currencies ”, interview with Nobel Laureate Milton Friedman conduct || « Milton Friedman, Land value tax and internet currencies », 1999, youtube (doublon interne du PDF, même URL);a768338169584a618a8ef5b797b7b063 (deg=2);duplicateOf=a768338169584a618a8ef5b797b7b063 sur 8a86eb7f81364573848e43b03d391a89, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
39;Galbraith 1976 | Galbraith 1976 — L'argent;ecfda0e51bd147e3bd0329a9bf4bbc6b | 569ea7309d154d1e92acf5b177563629;2;AcademicWork, Reference | AcademicWork, Reference;fusion-sure;GALBRAITH John Kenneth, 1976, L’argent, Paris, Gallimard . (coll. « idée, Gallimard »), collection : idées, 366 p.;ecfda0e51bd147e3bd0329a9bf4bbc6b (deg=14);duplicateOf=ecfda0e51bd147e3bd0329a9bf4bbc6b sur 569ea7309d154d1e92acf5b177563629, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
40;Garzik 2014a | Garzik 2014a — Counterparty and metacoins analysis;644de7a85c76448fa1e1bbeabd176d03 | 9e20ed50d936437eb53e034f20a5d8f5;2;IndigenousLiterature, Reference | Reference;fusion-sure;GARZIK Jeff, 2014a, « [ANN][XCP] Counterparty - Pioneering Peer -to-Peer Finance - Official Thread », https://bitcointal;644de7a85c76448fa1e1bbeabd176d03 (deg=7);duplicateOf=644de7a85c76448fa1e1bbeabd176d03 sur 9e20ed50d936437eb53e034f20a5d8f5, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
41;Garzik 2014b — OP_RETURN and metadata in Bitcoin | Garzik 2014b;a7d3cc7c0c2e4a36b6f8acb0f0308f6e | fdafe6e12c094113a2e2ba841b4e324e;2;Reference | IndigenousLiterature, Reference;fusion-sure;GARZIK Jeff, 2014b, « [Bitcoin-development] On OP_RETURN in upcoming 0.9 release ».;a7d3cc7c0c2e4a36b6f8acb0f0308f6e (deg=26);duplicateOf=a7d3cc7c0c2e4a36b6f8acb0f0308f6e sur fdafe6e12c094113a2e2ba841b4e324e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
42;Gilbert David 2014 — Dogecoin cryptocurrency community | David Gilbert 2014;1d8a4c4ab89c449a8de9b02761f65ab4 | be56089c62d34df08bd15f366454ab9e;2;Reference | GreyLiterature, Reference;fusion-sure;GILBERT David, 2014, « \’Most Valuable Tweet in History\’ Donates $11,000 Worth of Dogecoin to Kenyan Water Charity », h;1d8a4c4ab89c449a8de9b02761f65ab4 (deg=2);duplicateOf=1d8a4c4ab89c449a8de9b02761f65ab4 sur be56089c62d34df08bd15f366454ab9e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
