old_entity,old_type,action,new_entity,new_type,confidence,rationale
Be your own bank,Concept,retype,Be your own bank,NativeFormula,0.96,slogan/native formula
II.3 Au-delà de la revendication d’une absence de gouvernance !,Concept,retype,II.3 Au-delà de la revendication d’une absence de gouvernance !,ChapterSection,0.99,section title not concept
III.3 Une gouvernance publique d’exception : le hard fork d’Ethereum consécutif à l’attaque de “The DAO”,Concept,retype,III.3 Une gouvernance publique d’exception : le hard fork d’Ethereum consécutif à l’attaque de “The DAO”,ChapterSection,0.99,section title not concept
W.J. van der Laan — style de mainteneur,Concept,flag_attribute,W.J. van der Laan — style de mainteneur,AnalyticClaim,0.8,better as claim/attribute than concept
De l'activité de traitement des transactions,InfrastructureDomain,merge_into,Traitement des transactions,InfrastructureDomain,0.95,canonical domain label
De l'activité de traitement des transactions Ethereum,InfrastructureDomain,merge_into,Traitement des transactions,InfrastructureDomain,0.9,canonical domain + appliedToProtocol relation
Services de portefeuille et paiement,InfrastructureDomain,keep,Services de portefeuille et paiement,InfrastructureDomain,0.99,canonical domain
Information et connaissance,InfrastructureDomain,keep,Information et connaissance,InfrastructureDomain,0.99,canonical domain
Conformité réglementaire,InfrastructureDomain,keep,Conformité réglementaire,InfrastructureDomain,0.99,canonical domain
Sphère d’usage,InfrastructureDomain,keep,Sphère d’usage,InfrastructureDomain,0.99,canonical domain
Altcoins / surcouches,InfrastructureDomain,keep,Altcoins / surcouches,InfrastructureDomain,0.99,canonical domain
